model_number,simulation_duration
instance_1,1
instance_2,1
instance_3,1
instance_4,1
instance_5,1
instance_6,1
instance_7,1
instance_8,1
instance_9,1
instance_10,1
instance_11,1
instance_12,1
instance_13,1
instance_14,20
instance_15,1
instance_16,1
instance_17,1
instance_18,1
instance_19,1
instance_20,1
instance_21,1
instance_22,1
instance_23,1
instance_24,1
instance_25,1
instance_26,1
instance_27,60
instance_28,60
instance_29,1
instance_30,1
instance_31,60
instance_32,40
instance_33,30
instance_34,30
instance_35,30
instance_36,30
instance_37,30
instance_38,30
instance_39,10
instance_40,10
instance_41,30
instance_42,30
instance_43,30
instance_44,30
instance_45,30
instance_46,10
instance_47,10
instance_48,1
instance_49,1
instance_50,1
instance_51,10
instance_52,10
instance_53,10
instance_54,10
instance_55,20
instance_56,20
instance_57,10
instance_58,10
instance_59,5
instance_60,5
instance_61,60
instance_62,1
instance_63,1
instance_64,1
instance_65,1
instance_66,1
instance_67,1
instance_68,1
instance_69,1
instance_70,1
instance_71,1
instance_72,1
instance_73,1
instance_74,1
instance_75,1
instance_76,10
instance_77,30
instance_78,30
instance_79,10
instance_80,1
instance_81,1
instance_82,1
instance_83,1
instance_84,1
instance_85,1
instance_86,1
instance_87,1
instance_88,1
instance_89,60
instance_90,1
instance_91,1
instance_92,1
instance_93,1
instance_94,1
instance_95,1
instance_96,1
instance_97,20
instance_98,1
instance_99,1
instance_100,1
instance_101,1
instance_102,1
instance_103,1
instance_104,1
instance_105,1
instance_106,1
instance_107,1
instance_108,1
instance_109,1
instance_110,1
instance_111,1
instance_112,1
instance_113,1
instance_114,1
instance_115,1
instance_116,1
instance_117,1
instance_118,1
instance_119,1
instance_120,1
instance_121,1
instance_122,1
instance_123,1
instance_124,1
instance_125,1
instance_126,1
instance_127,10
