"time","max1","min1","n","sum1"
0,5,1,5,15
0.002,5,1,5,15
0.004,5,1,5,15
0.006,5,1,5,15
0.008,5,1,5,15
0.01,5,1,5,15
0.012,5,1,5,15
0.014,5,1,5,15
0.016,5,1,5,15
0.018,5,1,5,15
0.02,5,1,5,15
0.022,5,1,5,15
0.024,5,1,5,15
0.026,5,1,5,15
0.028,5,1,5,15
0.03,5,1,5,15
0.032,5,1,5,15
0.034,5,1,5,15
0.036,5,1,5,15
0.038,5,1,5,15
0.04,5,1,5,15
0.042,5,1,5,15
0.044,5,1,5,15
0.046,5,1,5,15
0.048,5,1,5,15
0.05,5,1,5,15
0.052,5,1,5,15
0.054,5,1,5,15
0.056,5,1,5,15
0.058,5,1,5,15
0.06,5,1,5,15
0.062,5,1,5,15
0.064,5,1,5,15
0.066,5,1,5,15
0.068,5,1,5,15
0.07,5,1,5,15
0.072,5,1,5,15
0.074,5,1,5,15
0.076,5,1,5,15
0.078,5,1,5,15
0.08,5,1,5,15
0.082,5,1,5,15
0.084,5,1,5,15
0.086,5,1,5,15
0.088,5,1,5,15
0.09,5,1,5,15
0.092,5,1,5,15
0.094,5,1,5,15
0.096,5,1,5,15
0.098,5,1,5,15
0.1,5,1,5,15
0.102,5,1,5,15
0.104,5,1,5,15
0.106,5,1,5,15
0.108,5,1,5,15
0.11,5,1,5,15
0.112,5,1,5,15
0.114,5,1,5,15
0.116,5,1,5,15
0.118,5,1,5,15
0.12,5,1,5,15
0.122,5,1,5,15
0.124,5,1,5,15
0.126,5,1,5,15
0.128,5,1,5,15
0.13,5,1,5,15
0.132,5,1,5,15
0.134,5,1,5,15
0.136,5,1,5,15
0.138,5,1,5,15
0.14,5,1,5,15
0.142,5,1,5,15
0.144,5,1,5,15
0.146,5,1,5,15
0.148,5,1,5,15
0.15,5,1,5,15
0.152,5,1,5,15
0.154,5,1,5,15
0.156,5,1,5,15
0.158,5,1,5,15
0.16,5,1,5,15
0.162,5,1,5,15
0.164,5,1,5,15
0.166,5,1,5,15
0.168,5,1,5,15
0.17,5,1,5,15
0.172,5,1,5,15
0.174,5,1,5,15
0.176,5,1,5,15
0.178,5,1,5,15
0.18,5,1,5,15
0.182,5,1,5,15
0.184,5,1,5,15
0.186,5,1,5,15
0.188,5,1,5,15
0.19,5,1,5,15
0.192,5,1,5,15
0.194,5,1,5,15
0.196,5,1,5,15
0.198,5,1,5,15
0.2,5,1,5,15
0.202,5,1,5,15
0.204,5,1,5,15
0.206,5,1,5,15
0.208,5,1,5,15
0.21,5,1,5,15
0.212,5,1,5,15
0.214,5,1,5,15
0.216,5,1,5,15
0.218,5,1,5,15
0.22,5,1,5,15
0.222,5,1,5,15
0.224,5,1,5,15
0.226,5,1,5,15
0.228,5,1,5,15
0.23,5,1,5,15
0.232,5,1,5,15
0.234,5,1,5,15
0.236,5,1,5,15
0.238,5,1,5,15
0.24,5,1,5,15
0.242,5,1,5,15
0.244,5,1,5,15
0.246,5,1,5,15
0.248,5,1,5,15
0.25,5,1,5,15
0.252,5,1,5,15
0.254,5,1,5,15
0.256,5,1,5,15
0.258,5,1,5,15
0.26,5,1,5,15
0.262,5,1,5,15
0.264,5,1,5,15
0.266,5,1,5,15
0.268,5,1,5,15
0.27,5,1,5,15
0.272,5,1,5,15
0.274,5,1,5,15
0.276,5,1,5,15
0.278,5,1,5,15
0.28,5,1,5,15
0.282,5,1,5,15
0.284,5,1,5,15
0.286,5,1,5,15
0.288,5,1,5,15
0.29,5,1,5,15
0.292,5,1,5,15
0.294,5,1,5,15
0.296,5,1,5,15
0.298,5,1,5,15
0.3,5,1,5,15
0.302,5,1,5,15
0.304,5,1,5,15
0.306,5,1,5,15
0.308,5,1,5,15
0.31,5,1,5,15
0.312,5,1,5,15
0.314,5,1,5,15
0.316,5,1,5,15
0.318,5,1,5,15
0.32,5,1,5,15
0.322,5,1,5,15
0.324,5,1,5,15
0.326,5,1,5,15
0.328,5,1,5,15
0.33,5,1,5,15
0.332,5,1,5,15
0.334,5,1,5,15
0.336,5,1,5,15
0.338,5,1,5,15
0.34,5,1,5,15
0.342,5,1,5,15
0.344,5,1,5,15
0.346,5,1,5,15
0.348,5,1,5,15
0.35,5,1,5,15
0.352,5,1,5,15
0.354,5,1,5,15
0.356,5,1,5,15
0.358,5,1,5,15
0.36,5,1,5,15
0.362,5,1,5,15
0.364,5,1,5,15
0.366,5,1,5,15
0.368,5,1,5,15
0.37,5,1,5,15
0.372,5,1,5,15
0.374,5,1,5,15
0.376,5,1,5,15
0.378,5,1,5,15
0.38,5,1,5,15
0.382,5,1,5,15
0.384,5,1,5,15
0.386,5,1,5,15
0.388,5,1,5,15
0.39,5,1,5,15
0.392,5,1,5,15
0.394,5,1,5,15
0.396,5,1,5,15
0.398,5,1,5,15
0.4,5,1,5,15
0.402,5,1,5,15
0.404,5,1,5,15
0.406,5,1,5,15
0.408,5,1,5,15
0.41,5,1,5,15
0.412,5,1,5,15
0.414,5,1,5,15
0.416,5,1,5,15
0.418,5,1,5,15
0.42,5,1,5,15
0.422,5,1,5,15
0.424,5,1,5,15
0.426,5,1,5,15
0.428,5,1,5,15
0.43,5,1,5,15
0.432,5,1,5,15
0.434,5,1,5,15
0.436,5,1,5,15
0.438,5,1,5,15
0.44,5,1,5,15
0.442,5,1,5,15
0.444,5,1,5,15
0.446,5,1,5,15
0.448,5,1,5,15
0.45,5,1,5,15
0.452,5,1,5,15
0.454,5,1,5,15
0.456,5,1,5,15
0.458,5,1,5,15
0.46,5,1,5,15
0.462,5,1,5,15
0.464,5,1,5,15
0.466,5,1,5,15
0.468,5,1,5,15
0.47,5,1,5,15
0.472,5,1,5,15
0.474,5,1,5,15
0.476,5,1,5,15
0.478,5,1,5,15
0.48,5,1,5,15
0.482,5,1,5,15
0.484,5,1,5,15
0.486,5,1,5,15
0.488,5,1,5,15
0.49,5,1,5,15
0.492,5,1,5,15
0.494,5,1,5,15
0.496,5,1,5,15
0.498,5,1,5,15
0.5,5,1,5,15
0.502,5,1,5,15
0.504,5,1,5,15
0.506,5,1,5,15
0.508,5,1,5,15
0.51,5,1,5,15
0.512,5,1,5,15
0.514,5,1,5,15
0.516,5,1,5,15
0.518,5,1,5,15
0.52,5,1,5,15
0.522,5,1,5,15
0.524,5,1,5,15
0.526,5,1,5,15
0.528,5,1,5,15
0.53,5,1,5,15
0.532,5,1,5,15
0.534,5,1,5,15
0.536,5,1,5,15
0.538,5,1,5,15
0.54,5,1,5,15
0.542,5,1,5,15
0.544,5,1,5,15
0.546,5,1,5,15
0.548,5,1,5,15
0.55,5,1,5,15
0.552,5,1,5,15
0.554,5,1,5,15
0.556,5,1,5,15
0.558,5,1,5,15
0.56,5,1,5,15
0.562,5,1,5,15
0.564,5,1,5,15
0.566,5,1,5,15
0.568,5,1,5,15
0.57,5,1,5,15
0.572,5,1,5,15
0.574,5,1,5,15
0.576,5,1,5,15
0.578,5,1,5,15
0.58,5,1,5,15
0.582,5,1,5,15
0.584,5,1,5,15
0.586,5,1,5,15
0.588,5,1,5,15
0.59,5,1,5,15
0.592,5,1,5,15
0.594,5,1,5,15
0.596,5,1,5,15
0.598,5,1,5,15
0.6,5,1,5,15
0.602,5,1,5,15
0.604,5,1,5,15
0.606,5,1,5,15
0.608,5,1,5,15
0.61,5,1,5,15
0.612,5,1,5,15
0.614,5,1,5,15
0.616,5,1,5,15
0.618,5,1,5,15
0.62,5,1,5,15
0.622,5,1,5,15
0.624,5,1,5,15
0.626,5,1,5,15
0.628,5,1,5,15
0.63,5,1,5,15
0.632,5,1,5,15
0.634,5,1,5,15
0.636,5,1,5,15
0.638,5,1,5,15
0.64,5,1,5,15
0.642,5,1,5,15
0.644,5,1,5,15
0.646,5,1,5,15
0.648,5,1,5,15
0.65,5,1,5,15
0.652,5,1,5,15
0.654,5,1,5,15
0.656,5,1,5,15
0.658,5,1,5,15
0.66,5,1,5,15
0.662,5,1,5,15
0.664,5,1,5,15
0.666,5,1,5,15
0.668,5,1,5,15
0.67,5,1,5,15
0.672,5,1,5,15
0.674,5,1,5,15
0.676,5,1,5,15
0.678,5,1,5,15
0.68,5,1,5,15
0.682,5,1,5,15
0.684,5,1,5,15
0.686,5,1,5,15
0.688,5,1,5,15
0.69,5,1,5,15
0.692,5,1,5,15
0.694,5,1,5,15
0.696,5,1,5,15
0.698,5,1,5,15
0.7,5,1,5,15
0.702,5,1,5,15
0.704,5,1,5,15
0.706,5,1,5,15
0.708,5,1,5,15
0.71,5,1,5,15
0.712,5,1,5,15
0.714,5,1,5,15
0.716,5,1,5,15
0.718,5,1,5,15
0.72,5,1,5,15
0.722,5,1,5,15
0.724,5,1,5,15
0.726,5,1,5,15
0.728,5,1,5,15
0.73,5,1,5,15
0.732,5,1,5,15
0.734,5,1,5,15
0.736,5,1,5,15
0.738,5,1,5,15
0.74,5,1,5,15
0.742,5,1,5,15
0.744,5,1,5,15
0.746,5,1,5,15
0.748,5,1,5,15
0.75,5,1,5,15
0.752,5,1,5,15
0.754,5,1,5,15
0.756,5,1,5,15
0.758,5,1,5,15
0.76,5,1,5,15
0.762,5,1,5,15
0.764,5,1,5,15
0.766,5,1,5,15
0.768,5,1,5,15
0.77,5,1,5,15
0.772,5,1,5,15
0.774,5,1,5,15
0.776,5,1,5,15
0.778,5,1,5,15
0.78,5,1,5,15
0.782,5,1,5,15
0.784,5,1,5,15
0.786,5,1,5,15
0.788,5,1,5,15
0.79,5,1,5,15
0.792,5,1,5,15
0.794,5,1,5,15
0.796,5,1,5,15
0.798,5,1,5,15
0.8,5,1,5,15
0.802,5,1,5,15
0.804,5,1,5,15
0.806,5,1,5,15
0.808,5,1,5,15
0.81,5,1,5,15
0.812,5,1,5,15
0.814,5,1,5,15
0.816,5,1,5,15
0.818,5,1,5,15
0.82,5,1,5,15
0.822,5,1,5,15
0.824,5,1,5,15
0.826,5,1,5,15
0.828,5,1,5,15
0.83,5,1,5,15
0.832,5,1,5,15
0.834,5,1,5,15
0.836,5,1,5,15
0.838,5,1,5,15
0.84,5,1,5,15
0.842,5,1,5,15
0.844,5,1,5,15
0.846,5,1,5,15
0.848,5,1,5,15
0.85,5,1,5,15
0.852,5,1,5,15
0.854,5,1,5,15
0.856,5,1,5,15
0.858,5,1,5,15
0.86,5,1,5,15
0.862,5,1,5,15
0.864,5,1,5,15
0.866,5,1,5,15
0.868,5,1,5,15
0.87,5,1,5,15
0.872,5,1,5,15
0.874,5,1,5,15
0.876,5,1,5,15
0.878,5,1,5,15
0.88,5,1,5,15
0.882,5,1,5,15
0.884,5,1,5,15
0.886,5,1,5,15
0.888,5,1,5,15
0.89,5,1,5,15
0.892,5,1,5,15
0.894,5,1,5,15
0.896,5,1,5,15
0.898,5,1,5,15
0.9,5,1,5,15
0.902,5,1,5,15
0.904,5,1,5,15
0.906,5,1,5,15
0.908,5,1,5,15
0.91,5,1,5,15
0.912,5,1,5,15
0.914,5,1,5,15
0.916,5,1,5,15
0.918,5,1,5,15
0.92,5,1,5,15
0.922,5,1,5,15
0.924,5,1,5,15
0.926,5,1,5,15
0.928,5,1,5,15
0.93,5,1,5,15
0.932,5,1,5,15
0.934,5,1,5,15
0.936,5,1,5,15
0.938,5,1,5,15
0.94,5,1,5,15
0.942,5,1,5,15
0.944,5,1,5,15
0.946,5,1,5,15
0.948,5,1,5,15
0.95,5,1,5,15
0.952,5,1,5,15
0.954,5,1,5,15
