"time","n","sum"
0,10,55
0.002,10,55
0.004,10,55
0.006,10,55
0.008,10,55
0.01,10,55
0.012,10,55
0.014,10,55
0.016,10,55
0.018,10,55
0.02,10,55
0.022,10,55
0.024,10,55
0.026,10,55
0.028,10,55
0.03,10,55
0.032,10,55
0.034,10,55
0.036,10,55
0.038,10,55
0.04,10,55
0.042,10,55
0.044,10,55
0.046,10,55
0.048,10,55
0.05,10,55
0.052,10,55
0.054,10,55
0.056,10,55
0.058,10,55
0.06,10,55
0.062,10,55
0.064,10,55
0.066,10,55
0.068,10,55
0.07,10,55
0.072,10,55
0.074,10,55
0.076,10,55
0.078,10,55
0.08,10,55
0.082,10,55
0.084,10,55
0.086,10,55
0.088,10,55
0.09,10,55
0.092,10,55
0.094,10,55
0.096,10,55
0.098,10,55
0.1,10,55
0.102,10,55
0.104,10,55
0.106,10,55
0.108,10,55
0.11,10,55
0.112,10,55
0.114,10,55
0.116,10,55
0.118,10,55
0.12,10,55
0.122,10,55
0.124,10,55
0.126,10,55
0.128,10,55
0.13,10,55
0.132,10,55
0.134,10,55
0.136,10,55
0.138,10,55
0.14,10,55
0.142,10,55
0.144,10,55
0.146,10,55
0.148,10,55
0.15,10,55
0.152,10,55
0.154,10,55
0.156,10,55
0.158,10,55
0.16,10,55
0.162,10,55
0.164,10,55
0.166,10,55
0.168,10,55
0.17,10,55
0.172,10,55
0.174,10,55
0.176,10,55
0.178,10,55
0.18,10,55
0.182,10,55
0.184,10,55
0.186,10,55
0.188,10,55
0.19,10,55
0.192,10,55
0.194,10,55
0.196,10,55
0.198,10,55
0.2,10,55
0.202,10,55
0.204,10,55
0.206,10,55
0.208,10,55
0.21,10,55
0.212,10,55
0.214,10,55
0.216,10,55
0.218,10,55
0.22,10,55
0.222,10,55
0.224,10,55
0.226,10,55
0.228,10,55
0.23,10,55
0.232,10,55
0.234,10,55
0.236,10,55
0.238,10,55
0.24,10,55
0.242,10,55
0.244,10,55
0.246,10,55
0.248,10,55
0.25,10,55
0.252,10,55
0.254,10,55
0.256,10,55
0.258,10,55
0.26,10,55
0.262,10,55
0.264,10,55
0.266,10,55
0.268,10,55
0.27,10,55
0.272,10,55
0.274,10,55
0.276,10,55
0.278,10,55
0.28,10,55
0.282,10,55
0.284,10,55
0.286,10,55
0.288,10,55
0.29,10,55
0.292,10,55
0.294,10,55
0.296,10,55
0.298,10,55
0.3,10,55
0.302,10,55
0.304,10,55
0.306,10,55
0.308,10,55
0.31,10,55
0.312,10,55
0.314,10,55
0.316,10,55
0.318,10,55
0.32,10,55
0.322,10,55
0.324,10,55
0.326,10,55
0.328,10,55
0.33,10,55
0.332,10,55
0.334,10,55
0.336,10,55
0.338,10,55
0.34,10,55
0.342,10,55
0.344,10,55
0.346,10,55
0.348,10,55
0.35,10,55
0.352,10,55
0.354,10,55
0.356,10,55
0.358,10,55
0.36,10,55
0.362,10,55
0.364,10,55
0.366,10,55
0.368,10,55
0.37,10,55
0.372,10,55
0.374,10,55
0.376,10,55
0.378,10,55
0.38,10,55
0.382,10,55
0.384,10,55
0.386,10,55
0.388,10,55
0.39,10,55
0.392,10,55
0.394,10,55
0.396,10,55
0.398,10,55
0.4,10,55
0.402,10,55
0.404,10,55
0.406,10,55
0.408,10,55
0.41,10,55
0.412,10,55
0.414,10,55
0.416,10,55
0.418,10,55
0.42,10,55
0.422,10,55
0.424,10,55
0.426,10,55
0.428,10,55
0.43,10,55
0.432,10,55
0.434,10,55
0.436,10,55
0.438,10,55
0.44,10,55
0.442,10,55
0.444,10,55
0.446,10,55
0.448,10,55
0.45,10,55
0.452,10,55
0.454,10,55
0.456,10,55
0.458,10,55
0.46,10,55
0.462,10,55
0.464,10,55
0.466,10,55
0.468,10,55
0.47,10,55
0.472,10,55
0.474,10,55
0.476,10,55
0.478,10,55
0.48,10,55
0.482,10,55
0.484,10,55
0.486,10,55
0.488,10,55
0.49,10,55
0.492,10,55
0.494,10,55
0.496,10,55
0.498,10,55
0.5,10,55
0.502,10,55
0.504,10,55
0.506,10,55
0.508,10,55
0.51,10,55
0.512,10,55
0.514,10,55
0.516,10,55
0.518,10,55
0.52,10,55
0.522,10,55
0.524,10,55
0.526,10,55
0.528,10,55
0.53,10,55
0.532,10,55
0.534,10,55
0.536,10,55
0.538,10,55
0.54,10,55
0.542,10,55
0.544,10,55
0.546,10,55
0.548,10,55
0.55,10,55
0.552,10,55
0.554,10,55
0.556,10,55
0.558,10,55
0.56,10,55
0.562,10,55
0.564,10,55
0.566,10,55
0.568,10,55
0.57,10,55
