"time","T","der(T)"
0,6.850000000000023,116.6666666666667
0.002,7.081978539337456,115.3134585205316
0.004,7.31127270469824,113.9759092225937
0.006,7.53793077815277,112.6537371274423
0.008,7.761956179640606,111.3469222854299
0.01,7.983404300569077,110.0551415800139
0.012,8.202264865212783,108.7784549529256
0.014,8.418606247975561,107.516463553476
0.016,8.632422142919552,106.2692041663027
0.018,8.843772564709582,105.0363267058609
0.02,9.052658788018334,103.8178237365598
0.022,9.259114922645779,102.6134962845664
0.024,9.46317587880759,101.4231407069558
0.026,9.664860239313327,100.2466486040057
0.028,9.864193739617804,99.08386985222961
0.03,10.06120931620461,97.9346123221399
0.032,10.25593612211151,96.79870595434967
0.034,10.44839945221435,95.67600319541644
0.036,10.63862704617537,94.56634223064378
0.038,10.82664623939417,93.46956360353417
0.04,11.01248447610601,92.38550722271508
0.042,11.1961696047855,91.31401063875141
0.044,11.37772926079168,90.25491264538198
0.046,11.55718243638438,89.20810245442458
0.048,11.73454610301468,88.17348106574784
0.05,11.90985178082144,87.15086461187506
0.052,12.08312433586462,86.14010804078981
0.054,12.25438863420385,85.14106630047768
0.056,12.42366954189919,84.15359433892155
0.058,12.59098142978615,83.17760832624757
0.06,12.75634724469711,82.21297440593366
0.062,12.91979462176556,81.25953137303436
0.064,13.08134702920307,80.31714232964887
0.066,13.2410279352211,79.38567037787706
0.068,13.3988608080312,78.46497861981811
0.07,13.55485404655553,77.55501806175953
0.072,13.70903542129173,76.6556267091317
0.074,13.86142928835312,75.76666248460693
0.076,14.01205782599556,74.88799601502606
0.078,14.16094321247482,74.01949792723035
0.08,14.30810712028699,73.16104179832602
0.082,14.45355075988721,72.31262056732476
0.084,14.5973074302043,71.47403999047508
0.086,14.73939779679051,70.64517951872213
0.088,14.87984252519794,69.82591860301213
0.09,15.01866228097867,69.01613669429121
0.092,15.15587430985835,68.2157331924931
0.094,15.29148509623661,67.42467027195322
0.096,15.42552350908238,66.6427795303529
0.098,15.55800887706221,65.86994821713725
0.1,15.68896052884247,65.10606358175238
0.102,15.81839779308973,64.35101287364337
0.104,15.94633557331787,63.60470915564591
0.106,16.07278592237975,62.86708211945158
0.108,16.19777106819009,62.13800210222458
0.11,16.321308227484,61.41736867301015
0.112,16.44341441817357,60.70508256065428
0.114,16.56410645934835,60.00104565380141
0.116,16.68340097127526,59.30516100089444
0.118,16.80131437539825,58.61733281017701
0.12,16.91786289433884,57.93746644969024
0.122,17.03306255189551,57.26546844727631
0.124,17.14692917304433,56.60124649057489
0.126,17.25947838393853,55.94470942702538
0.128,17.37072202620169,55.29578818049028
0.13,17.48067630807992,54.65438820286726
0.132,17.58935684922625,54.02041837951368
0.134,17.69677816490082,53.39379403807867
0.136,17.80295455098678,52.77443178591056
0.138,17.90790008398903,52.1622495100641
0.14,18.01162862103507,51.55716637729554
0.142,18.11415379987449,50.95910283406563
0.144,18.21548903887924,50.36798060653789
0.146,18.31564753704373,49.78372270057837
0.148,18.41464227398444,49.20625340175756
0.15,18.51248765090446,48.63548870305745
0.152,18.60920669540053,48.07129427683037
0.154,18.70480393577026,47.51364370800697
0.156,18.79929208038573,46.96246286441673
0.158,18.89268365262507,46.41767869302058
0.16,18.98499099087263,45.87921921990978
0.162,19.07622624851899,45.34701355030601
0.164,19.16640139396105,44.82099186856065
0.166,19.25552821060177,44.30108543815649
0.168,19.34361829685048,43.78722660170567
0.17,19.4306830661227,43.27934878095106
0.172,19.51673374684003,42.77738647676661
0.174,19.60178937445448,42.28122864901565
0.176,19.68586415746745,41.79079241477334
0.178,19.76896297105725,41.30604933549952
0.18,19.85109701522839,40.82693407783452
0.182,19.93227734156267,40.35338217421791
0.184,20.01251485321893,39.8853300228897
0.186,20.09182030493366,39.4227148878871
0.188,20.17020430302068,38.96547489904616
0.19,20.24767730537076,38.51354905200404
0.192,20.32424962145217,38.06687720819582
0.194,20.39993141231048,37.62540009485566
0.196,20.47473269056843,37.18905930501762
0.198,20.54867211149582,36.75774601627452
0.2,20.62175467443478,36.33143106579723
0.202,20.69398937593223,35.91006197372877
0.204,20.76538607270754,35.49358124253947
0.206,20.83595449513695,35.08193211170128
0.208,20.90570424725365,34.67505855768717
0.21,20.97464480674722,34.27290529397467
0.212,21.04278552496419,33.87541777104237
0.214,21.110135626908,33.48254217637011
0.216,21.17670421123859,33.09422543444171
0.218,21.24250025027277,32.71041520674231
0.22,21.30753349198653,32.33105463007869
0.222,21.37181510675202,31.95607854394666
0.224,21.43535160251372,31.58544898533676
0.226,21.498151612046,31.21911559639846
0.228,21.56022365041747,30.85702870589822
0.23,21.62157611499094,30.49913932921962
0.232,21.68221728542363,30.14539916836227
0.234,21.74215532366713,29.79576061194185
0.236,21.80139827396727,29.45017673519108
0.238,21.85995406286423,29.10860129995877
0.24,21.91783049919241,28.7709887547111
0.242,21.97503527408065,28.43729423452966
0.244,22.03157852652851,28.10745859525052
0.246,22.08746773508852,27.78143821198374
0.248,22.14270910365008,27.45919689537468
0.25,22.19731003764088,27.14069144709503
0.252,22.25127783424279,26.82587930025055
0.254,22.30461968239138,26.51471851938377
0.256,22.3573426627762,26.20716780047227
0.258,22.40945374784098,25.90318647092772
0.26,22.46095980178279,25.60273448960051
0.262,22.51186758055314,25.30577244677346
0.264,22.56218373185726,25.01226156416611
0.266,22.61191479515412,24.72216369493443
0.268,22.66107334926278,24.43540546263392
0.27,22.70966179506172,24.1519728621401
0.272,22.75768671889665,23.87182747310301
0.274,22.80515464944739,23.59493121155703
0.276,22.85207204434795,23.32124640797043
0.278,22.89844529160405,23.05073579897652
0.28,22.9442807110093,22.78336251911256
0.282,22.9895845555626,22.51909009255163
0.284,23.03436301288451,22.25788242484048
0.286,23.07862220663463,21.99970379463143
0.288,23.12236819792832,21.74451884541824
0.29,23.16560698675335,21.49229257727228
0.292,23.20834451338709,21.24299033857544
0.294,23.25058665981328,20.996577817756
0.296,23.29233925113874,20.75302103502414
0.298,23.33360805701062,20.51228633410484
0.3,23.37439662417864,20.27435302562471
0.302,23.41471040115471,20.03918932659767
0.304,23.45455617592,19.80675564046678
0.306,23.49393934180233,19.5770205061532
0.308,23.53286523078191,19.349952820439
0.31,23.57133911447119,19.12552183225154
0.312,23.60936620509432,18.90369713694994
0.314,23.64695165646697,18.68444867060949
0.316,23.68410056497606,18.46774670430643
0.318,23.72081797055904,18.25356183840573
0.32,23.7571088576841,18.04186499684287
0.322,23.79297815632953,17.83262742141124
0.324,23.82843074296323,17.62582066604793
0.326,23.86347144152279,17.42141659111719
0.328,23.89810502439485,17.21938735769683
0.33,23.93233621339476,17.01970542186402
0.332,23.96616986645785,16.8223424456627
0.334,23.9996114718283,16.62726641433504
0.336,24.03266487515606,16.43445489492312
0.338,24.06533464769541,16.24388122177692
0.34,24.09762531801653,16.05551897823706
0.342,24.12954137307781,15.86934199037955
0.344,24.16108725929865,15.68532432075798
0.346,24.19226738363193,15.50344026214721
0.348,24.22308611463711,15.32366433128364
0.35,24.25354778355251,15.14597126261052
0.352,24.28365668536827,14.97033600201855
0.354,24.3134170798989,14.7967337005899
0.356,24.34283319285589,14.62513970834076
0.358,24.3719092169207,14.45552956796272
0.36,24.40064931281694,14.28787900856799
0.362,24.42905761038372,14.12216393942842
0.364,24.45713820964755,13.95836044372274
0.366,24.48488813543383,13.7964858766361
0.368,24.51231417939925,13.63650062017115
0.37,24.53942198188213,13.47837177235438
0.372,24.56621520851724,13.32207795031626
0.374,24.59269747889647,13.16759803977073
0.376,24.61887236701875,13.01491119239074
0.378,24.64474340173837,12.86399682319299
0.38,24.67031406721429,12.71483460791676
0.382,24.69558780335956,12.56740448040271
0.384,24.72056800629008,12.42168662997467
0.386,24.74525802877378,12.27766149881977
0.388,24.76966118068003,12.13530977936661
0.39,24.79378072942819,11.99461241166901
0.392,24.81761990043753,11.85555058078118
0.394,24.8411818775752,11.71810571414483
0.396,24.86446980360671,11.58225947896099
0.398,24.88748819585743,11.44798552416513
0.4,24.9102420206508,11.31525487953714
0.402,24.93273213601458,11.18406253991509
0.404,24.95496166650764,11.05439027870555
0.406,24.97693370716792,10.92622004152062
0.408,24.9986513242265,10.79953394201221
0.41,25.02011755582208,10.67431425770465
0.412,25.04133541271534,10.55054342582731
0.414,25.06230787900427,10.42820403914192
0.416,25.08303791283754,10.30727884178115
0.418,25.10352844712986,10.18775072507594
0.42,25.12378239027635,10.06960272338811
0.422,25.14380262686672,9.952818009944291
0.424,25.16359201840015,9.837379892665911
0.426,25.18315340399948,9.723271810003144
0.428,25.20248960112616,9.610477326764196
0.43,25.22160340629438,9.498980129949596
0.432,25.24048994572877,9.388808649915649
0.434,25.25915712963058,9.279916743821747
0.436,25.2776078660217,9.172287448206902
0.438,25.29584459814487,9.065906510821739
0.44,25.31386973402789,8.960759884837444
0.442,25.33168564669927,8.856833727587722
0.444,25.34929467440406,8.754114399309762
0.446,25.36669912081902,8.652588461889176
0.448,25.38390125526911,8.552242677596999
0.45,25.40090331294243,8.453064007835945
0.452,25.41770749510619,8.355039611880718
0.454,25.43431596932237,8.258156845619641
0.456,25.4507308696634,8.16240326029695
0.458,25.46695429692761,8.067766601255736
0.46,25.4829883188554,7.974234806676937
0.462,25.49883497034421,7.881796006325601
0.464,25.51449986509067,7.790417453637891
0.466,25.52998593128899,7.70008206748102
0.468,25.5452924950514,7.610793778866972
0.47,25.56042169995669,7.522540083586098
0.472,25.57537567338983,7.435308571892799
0.474,25.59015652719899,7.349086924672719
0.476,25.60476635835096,7.263862909619547
0.478,25.61920724958759,7.179624377405863
0.48,25.63348127008192,7.096359257855624
0.482,25.64759047609391,7.01405555611899
0.484,25.66153691162725,6.932701348841164
0.486,25.6753226090849,6.852284780338209
0.488,25.68894958992536,6.772794058768881
0.49,25.70241986531903,6.694217452305793
