"time","der(omega1)","der(omega2)","der(phi1)","der(phi2)","omega1","omega2","phi1","phi2"
0,27.5,-16,0,0,0,0,0,1
0.002,27.45415742020236,-15.94955341087413,0.05495461726777164,-0.03194975879758329,0.05495461726777164,-0.03194975879758329,5.496365506149592e-05,0.9999680403181539
0.004,27.40364112637956,-15.89702159311139,0.1098124050094911,-0.06379632878951683,0.1098124050094911,-0.06379632878951683,0.0002197308778511915,0.9998722942698172
0.006,27.34846819851938,-15.8424162812674,0.1645645891770843,-0.09553579993043876,0.1645645891770843,-0.09553579993043876,0.0004941097008116443,0.9997129603580169
0.008,27.28865652090922,-15.78574960128279,0.2192023278618321,-0.1271642394659952,0.2192023278618321,-0.1271642394659952,0.0008778899470869716,0.999490246477019
0.01,27.22422564941058,-15.72703468786679,0.2737162196639036,-0.158677471830263,0.2737162196639036,-0.158677471830263,0.001370834708103182,0.9992043799865638
0.012,27.15519645185881,-15.66628536448522,0.3280966447365203,-0.1900712340253404,0.3280966447365203,-0.1900712340253404,0.001972680235597618,0.9988556035534066
0.014,27.08159030978962,-15.60351555462326,0.3823342612663805,-0.2213413987284168,0.3823342612663805,-0.2213413987284168,0.002683142622182556,0.9984441658871651
0.016,27.00342917209514,-15.53873922350053,0.4364201819371037,-0.2524840573150423,0.4364201819371037,-0.2524840573150423,0.003501911787458129,0.9979703223955023
0.018,26.92073502595343,-15.4719704309059,0.4903453534871981,-0.2834952240323961,0.4903453534871981,-0.2834952240323961,0.004428681103631288,0.9974343289113851
0.02,26.83353088204279,-15.40322378122352,0.5441005368959821,-0.3143708376662064,0.5441005368959821,-0.3143708376662064,0.005463123420926201,0.9968364532145219
0.022,26.74183972228113,-15.33251374692696,0.597676748260479,-0.3451069559032953,0.597676748260479,-0.3451069559032953,0.006604905533997069,0.9961769627835614
0.024,26.64568657897455,-15.25985565181303,0.6510651451842685,-0.3756997252852948,0.6510651451842685,-0.3756997252852948,0.007853639494089815,0.9954561491017018
0.026,26.54509572929968,-15.18526453504036,0.7042567713491891,-0.4061452307116029,0.7042567713491891,-0.4061452307116029,0.009208959158050253,0.9946742948064168
0.028,26.44009311584873,-15.10875611775979,0.7572428058251253,-0.436439638774635,0.7572428058251253,-0.436439638774635,0.01067045337903667,0.9938317020389861
0.03,26.33070480708322,-15.03034617040588,0.810014442958521,-0.4665791245354074,0.810014442958521,-0.4665791245354074,0.01223770748231989,0.9929286744215994
0.032,26.21695764522659,-14.9500507832532,0.8625629336720599,-0.4965598980332307,0.8625629336720599,-0.4965598980332307,0.01391028605445995,0.9919655246391594
0.034,26.09887951226674,-14.86788647126897,0.9148796161897176,-0.5263782214731003,0.9148796161897176,-0.5263782214731003,0.01568772552714211,0.9909425775670749
0.036,25.97649800052499,-14.78386963122232,0.9669558041569362,-0.5560303424093733,0.9669558041569362,-0.5560303424093733,0.01756957018222507,0.9898601546843395
0.038,25.8498423895441,-14.69801734294107,1.018782966137157,-0.5855125991768485,1.018782966137157,-0.5855125991768485,0.01955531827092501,0.9887185972600562
0.04,25.71894181455369,-14.61034662859282,1.070352555771567,-0.6148213215750452,1.070352555771567,-0.6148213215750452,0.0216444720246603,0.9875182448692781
