"time","controller.bus.temperature"
0,293.15
0.002,293.1202792805375
0.004,293.0911142222409
0.006,293.0624992358637
0.008,293.0344339247436
0.01,293.0069050326563
0.012,292.9799149961693
0.014,292.9534647436884
0.016,292.9275542752135
0.018,292.9021644419456
0.02,292.8773011422036
0.022,292.8529679752079
0.024,292.8291649409584
0.026,292.8058692513205
0.028,292.783083136939
0.03,292.7608138631772
0.032,292.7390614300352
0.034,292.7178062522032
0.036,292.6970448667457
0.038,292.6767868515904
0.04,292.6570322067372
0.042,292.6377706103166
0.044,292.6189921602479
0.046,292.6007004827499
0.048,292.5828926229122
0.05,292.5655656258245
0.052,292.5487165365765
0.054,292.5323424002577
0.056,292.5164402619578
0.058,292.501005790304
0.06,292.486033454588
0.062,292.4715223478723
0.064,292.4574692817541
0.066,292.4438710678303
0.068,292.430724517698
0.07,292.4180264429544
0.072,292.4057736551966
0.074,292.3939629803225
0.076,292.3825913280101
0.078,292.3716554399367
0.08,292.3611521322511
0.082,292.3510782211019
0.084,292.3414305226378
0.086,292.3322058530075
0.088,292.3234010283597
0.09,292.3150128648431
0.092,292.3070454130465
0.094,292.299491258651
0.096,292.2923471545731
0.098,292.2856102070614
0.1,292.2792775223641
0.102,292.2733462067296
0.104,292.2678133664063
0.106,292.2626761076426
0.108,292.2579315366868
0.11,292.2535767597874
0.112,292.2496093702659
0.114,292.246032788056
0.116,292.2428393080692
0.118,292.2400262165407
0.12,292.2375907997053
0.122,292.2355303437978
0.124,292.2338421350532
0.126,292.2325234597062
0.128,292.2315716039917
0.13,292.2309838541447
0.132,292.2307574963999
0.134,292.2308907464494
0.136,292.2313842061408
0.138,292.2322322357355
0.14,292.2334322306876
0.142,292.234981586451
0.144,292.2368776984799
0.146,292.2391179622282
0.148,292.2416997731499
0.15,292.2446205266991
0.152,292.2478776183297
0.154,292.2514684434958
0.156,292.2553928888486
0.158,292.2596519923587
0.16,292.2642391684527
0.162,292.2691519888892
0.164,292.274388025427
0.166,292.2799448498244
0.168,292.2858200338403
0.17,292.2920111492331
0.172,292.2985157677615
0.174,292.3053314611843
0.176,292.3124558012599
0.178,292.3198889111339
0.18,292.3276297167453
0.182,292.3356734630018
0.184,292.3440178495704
0.186,292.3526605761178
0.188,292.3615993423113
0.19,292.3708318478176
0.192,292.3803557923036
0.194,292.3901688754364
0.196,292.4002687968828
0.198,292.41065325631
0.2,292.4213221871632
0.202,292.4322735026876
0.204,292.4435038628831
0.206,292.4550111581825
0.208,292.4667932893807
0.21,292.4788481676359
0.212,292.4911737144686
0.214,292.5037678617622
0.216,292.5166285517628
0.218,292.5297537370793
0.22,292.5431413806833
0.222,292.556790910343
0.224,292.5706999422169
0.226,292.5848661329174
0.228,292.599287587398
0.23,292.6139624263966
0.232,292.6288887864364
0.234,292.6440648198248
0.236,292.6594886946544
0.238,292.6751585948022
0.24,292.6910727199298
0.242,292.7072292854838
0.244,292.7236265226956
0.246,292.7402626785808
0.248,292.7571360159402
0.25,292.7742448133592
0.252,292.7915873652078
0.254,292.8091619816409
0.256,292.8269669885979
0.258,292.8450007278032
0.26,292.8632615567655
0.262,292.8817478487787
0.264,292.900457952716
0.266,292.9193817620246
0.268,292.9385245447319
0.27,292.9578845798744
0.272,292.9774601562087
0.274,292.9972495722131
0.276,293.0172511360867
0.278,293.0374631657495
0.28,293.0578839888423
0.282,293.0785119427272
0.284,293.0993453744871
0.286,293.120382640926
0.288,293.1416221085688
0.29,293.1630621536613
0.292,293.1847011621703
0.294,293.2065375297838
0.296,293.2285696619104
0.298,293.2507959736801
0.3,293.2732148899436
0.302,293.2958248452725
0.304,293.3186245796776
0.306,293.3416123129498
0.308,293.3647865095126
0.31,293.3881456477977
0.312,293.4116882161221
0.314,293.4354127126872
0.316,293.45931764558
0.318,293.4834015327723
0.32,293.507662902121
0.322,293.5321002913678
0.324,293.5567122481394
0.326,293.581497329948
0.328,293.6064541041903
0.33,293.6315811481484
0.332,293.656877048989
0.334,293.6823404037641
0.336,293.7079698194107
0.338,293.7337639127508
0.34,293.7597213104915
0.342,293.7858385598065
0.344,293.8121159170679
0.346,293.8385520746788
0.348,293.8651456641111
0.35,293.891895325624
0.352,293.9187997082636
0.354,293.9458574698629
0.356,293.9730672770424
0.358,294.0004278052097
0.36,294.027937738559
0.362,294.0555957700721
0.364,294.0834006015178
0.366,294.1113509434517
0.368,294.1394455152171
0.37,294.1676830449435
0.372,294.1960622695487
0.374,294.2245819347364
0.376,294.2532407949982
0.378,294.2820376136124
0.38,294.3109711626445
0.382,294.3400402229473
0.384,294.3692435841605
0.386,294.3985800447108
0.388,294.4280484118123
0.39,294.4576471071776
0.392,294.4873729512383
0.394,294.517226742909
0.396,294.547207293946
0.398,294.5773134240072
0.4,294.6075439606503
0.402,294.6378977393344
0.404,294.668373603419
0.406,294.698970404164
0.408,294.7296870007304
0.41,294.7605222601798
0.412,294.7914750574743
0.414,294.8225442754768
0.416,294.8537288049509
0.418,294.8850275445609
0.42,294.9164394008718
0.422,294.9479632883489
0.424,294.9795981293589
0.426,295.0113428541685
0.428,295.0431964009455
0.43,295.0751577157583
0.432,295.1072257525757
0.434,295.1393994732677
0.436,295.1716778476045
0.438,295.2040598532573
0.44,295.2365437124009
0.442,295.2691274994077
0.444,295.3018115434224
0.446,295.3345948306119
0.448,295.3674763544294
0.45,295.4004551156145
0.452,295.4335301221932
0.454,295.4667003894778
0.456,295.4999649400669
0.458,295.5333228038455
0.46,295.5667730179848
0.462,295.6003146269425
0.464,295.6339466824624
0.466,295.6676682435749
0.468,295.7014783765966
0.47,295.7353761551304
0.472,295.7693606600657
0.474,295.803430979578
0.476,295.8375862091293
0.478,295.8718254514678
0.48,295.9061478166282
0.482,295.9405524219313
0.484,295.9750383919848
0.486,296.0096048586818
0.488,296.0442509612025
0.49,296.0789735317408
0.492,296.1137715213996
0.494,296.1486459280767
0.496,296.1835958772249
0.498,296.2186205004917
0.5,296.2537189357178
0.502,296.2888903269382
0.504,296.3241338243822
0.506,296.3594485844728
0.508,296.3948337698272
0.51,296.4302885492564
0.512,296.4658120977658
0.514,296.5014035965544
0.516,296.5370622330155
0.518,296.5727872007363
0.52,296.6085776994981
0.522,296.6444329352763
0.524,296.68035212024
0.526,296.7163344727526
0.528,296.7523792173716
0.53,296.7884855848481
0.532,296.8246528121276
0.534,296.8608801423496
0.536,296.8971668248475
0.538,296.9335121151487
0.54,296.9699134639357
0.542,297.0063709384139
0.544,297.0428844325888
0.546,297.0794532022315
0.548,297.1160765086858
0.55,297.1527536188667
0.552,297.1894838052618
0.554,297.2262663459305
0.556,297.2631005245041
0.558,297.2999856301859
0.56,297.3369209577513
0.562,297.3739058075477
0.564,297.4109394854945
0.566,297.4480213030827
0.568,297.4851505773758
0.57,297.5223266310092
0.572,297.55954879219
