"time","tr"
0,0
0,0
0,0
0.002,0
0.004,0
0.006,0
0.008,0
0.01,0
0.01,-0.01
0.012,-0.01
0.014,-0.01
0.016,-0.01
0.018,-0.01
0.02,-0.01
0.02,-0.02
0.022,-0.02
0.024,-0.02
0.026,-0.02
0.028,-0.02
0.03,-0.02
0.03,-0.03
0.032,-0.03
0.034,-0.03
0.036,-0.03
0.038,-0.03
0.04,-0.03
0.04,-0.04
0.042,-0.04
0.044,-0.04
0.046,-0.04
0.048,-0.04
0.05,-0.04
0.05,-0.05
0.052,-0.05
0.054,-0.05
0.056,-0.05
0.058,-0.05
0.06,-0.05
0.06,-0.06
0.062,-0.06
0.064,-0.06
0.066,-0.06
0.068,-0.06
0.07,-0.06
0.07,-0.07000000000000001
0.072,-0.07000000000000001
0.074,-0.07000000000000001
0.076,-0.07000000000000001
0.078,-0.07000000000000001
0.08,-0.07000000000000001
0.08,-0.08
0.082,-0.08
0.084,-0.08
0.086,-0.08
0.088,-0.08
0.09,-0.08
0.09,-0.09
0.092,-0.09
0.094,-0.09
0.096,-0.09
0.098,-0.09
0.1,-0.09
0.1,-0.09999999999999999
0.102,-0.09999999999999999
0.104,-0.09999999999999999
0.106,-0.09999999999999999
0.108,-0.09999999999999999
0.11,-0.09999999999999999
0.11,-0.11
0.112,-0.11
0.114,-0.11
0.116,-0.11
0.118,-0.11
0.12,-0.11
0.12,-0.12
0.122,-0.12
0.124,-0.12
0.126,-0.12
0.128,-0.12
0.13,-0.12
0.13,-0.13
0.132,-0.13
0.134,-0.13
0.136,-0.13
0.138,-0.13
0.14,-0.13
0.14,-0.14
0.142,-0.14
0.144,-0.14
0.146,-0.14
0.148,-0.14
0.15,-0.14
0.15,-0.15
0.152,-0.15
0.154,-0.15
0.156,-0.15
0.158,-0.15
0.16,-0.15
0.16,-0.16
0.162,-0.16
0.164,-0.16
0.166,-0.16
0.168,-0.16
0.17,-0.16
0.17,-0.17
0.172,-0.17
0.174,-0.17
0.176,-0.17
0.178,-0.17
0.18,-0.17
0.18,-0.18
0.182,-0.18
0.184,-0.18
0.186,-0.18
0.188,-0.18
0.19,-0.18
0.19,-0.19
0.192,-0.19
0.194,-0.19
0.196,-0.19
0.198,-0.19
0.2,-0.19
0.2,-0.2
0.202,-0.2
0.204,-0.2
0.206,-0.2
0.208,-0.2
0.21,-0.2
0.21,-0.21
0.212,-0.21
0.214,-0.21
0.216,-0.21
0.218,-0.21
0.22,-0.21
0.22,-0.2200000000000001
0.222,-0.2200000000000001
0.224,-0.2200000000000001
0.226,-0.2200000000000001
0.228,-0.2200000000000001
0.23,-0.2200000000000001
0.23,-0.2300000000000001
0.232,-0.2300000000000001
