"time","FixedPoint","MAX","MIN","Nbit","Ts","Yfp","alfa","m","nInput","scaleFactor","tin","yfin","yin","y"
0,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
0.06,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
0.12,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
0.18,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
0.24,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
0.3,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
0.36,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
0.42,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
0.48,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
0.54,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
0.6,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
0.66,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
0.72,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
0.78,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
0.84,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
0.9,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
0.96,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
1.02,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
1.08,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
1.14,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
1.2,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
1.26,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
1.32,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
1.38,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
1.44,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
1.5,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
1.56,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
1.62,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
1.68,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
1.74,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
1.8,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
1.86,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
1.92,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
1.98,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
2.04,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
2.1,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
2.16,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
2.22,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
2.28,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
2.34,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
2.4,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
2.46,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
2.52,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
2.58,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
2.64,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
2.7,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
2.76,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
2.82,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
2.88,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
2.94,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
3,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
3.06,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
3.12,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
3.18,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
3.24,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
3.3,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
3.36,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
3.42,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
3.48,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
3.54,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
3.6,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
3.66,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
3.72,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
3.78,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
3.84,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
3.9,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
3.96,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
4.02,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
4.08,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
4.14,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
4.2,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
4.26,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
4.32,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
4.38,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
4.44,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
4.5,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
4.56,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
4.62,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
4.68,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
4.74,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
4.8,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
4.86,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
4.92,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
4.98,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
5.04,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
