"time","T"
0,1
0.002,1.002689181984669
0.004,1.005378201281345
0.006,1.008067057904493
0.008,1.010755751857755
0.01,1.013444283169149
0.012,1.01613265184746
0.014,1.018820857884323
0.016,1.021508901279737
0.018,1.024196782086919
0.02,1.026884500378571
0.022,1.029572056087726
0.024,1.032259449214384
0.026,1.034946679758544
0.028,1.037633747720208
0.03,1.040320653099374
0.032,1.043007395896044
0.034,1.045693976110216
0.036,1.048380394167039
0.038,1.05106664987332
0.04,1.05375274311493
0.042,1.05643867389187
0.044,1.05912444220414
0.046,1.061810048051739
0.048,1.064495491434668
0.05,1.067180772352927
0.052,1.069865890806515
0.054,1.072550846795433
0.056,1.075235640319681
0.058,1.077920271379258
0.06,1.080604739974165
0.062,1.083289046104402
0.064,1.085973189769969
0.066,1.088657170970865
0.068,1.091340989707091
0.07,1.094024647102184
0.072,1.096708143180673
0.074,1.099391477029814
0.076,1.102074648649607
0.078,1.104757658040052
0.08,1.107440505201147
0.082,1.110123190132895
0.084,1.112805712835294
0.086,1.115488073308345
0.088,1.118170271552047
0.09,1.120852307566401
0.092,1.123534181351407
0.094,1.126215892907064
0.096,1.128897442233373
0.098,1.131578829330334
0.1,1.134260054197946
0.102,1.136941116836209
0.104,1.139622017245125
0.106,1.142302755424691
0.108,1.14498333137491
0.11,1.14766374509578
0.112,1.150343996587302
0.114,1.153024085849475
0.116,1.1557040128823
0.118,1.158383777685777
0.12,1.161063380259905
0.122,1.163742820604685
0.124,1.166422098720116
0.126,1.169101214606199
0.128,1.171780168262934
0.13,1.17445895969032
0.132,1.177137588888358
0.134,1.179816055857048
0.136,1.182494360596389
0.138,1.185172503708245
0.14,1.187850492345457
0.142,1.190528319222638
0.144,1.193205984339787
0.146,1.195883487696904
0.148,1.198560829293989
0.15,1.201238009131042
0.152,1.203915027208063
0.154,1.206591883525053
0.156,1.20926857808201
0.158,1.211945110878936
0.16,1.214621481915829
0.162,1.21729769119269
0.164,1.21997373870952
0.166,1.222649624466318
0.168,1.225325348463083
0.17,1.228000910699817
0.172,1.230676311176519
0.174,1.233351549893189
0.176,1.236026626849827
0.178,1.238701542046433
0.18,1.241376295483008
0.182,1.24405088715955
0.184,1.24672531707606
0.186,1.249399585232538
0.188,1.252073691628985
0.19,1.2547476362654
0.192,1.257421419141782
0.194,1.260095040258133
0.196,1.262768499614451
0.198,1.265441797210738
0.2,1.268114933046993
0.202,1.270787907123216
0.204,1.273460719439407
0.206,1.276133369995566
0.208,1.278805858791693
0.21,1.281478185827789
0.212,1.284150351103852
0.214,1.286822354619883
0.216,1.289494196375883
0.218,1.29216587637185
0.22,1.294837394607786
0.222,1.297508751083689
0.224,1.300179945799561
0.226,1.302850978755401
0.228,1.305521849951209
0.23,1.308192559386985
0.232,1.310863107062729
0.234,1.313533492978441
0.236,1.316203717134121
0.238,1.318873779529769
0.24,1.321543680165385
0.242,1.32421341904097
0.244,1.326882996156522
0.246,1.329552411512043
0.248,1.332221665107531
0.25,1.334890756942988
0.252,1.337559687018413
0.254,1.340228455333805
0.256,1.342897061889166
0.258,1.345565506684495
0.26,1.348233789719792
0.262,1.350901910995057
0.264,1.35356987051029
0.266,1.356237668265492
0.268,1.358905304260661
0.27,1.361572778495798
0.272,1.364240090970904
0.274,1.366907241685977
0.276,1.369574232983251
0.278,1.372241076267174
0.28,1.374907758249294
0.282,1.377574278929609
0.284,1.380240638308121
0.286,1.382906836384829
0.288,1.385572873159734
0.29,1.388238748632835
0.292,1.390904462804132
0.294,1.393570015673627
0.296,1.396235407241317
0.298,1.398900637507203
0.3,1.401565706471286
0.302,1.404230614133565
0.304,1.40689536049404
0.306,1.409559945552712
0.308,1.41222436930958
0.31,1.414888631764645
0.312,1.417552732917906
0.314,1.420216672769363
0.316,1.422880451319017
0.318,1.425544068566866
0.32,1.428207524512913
0.322,1.430870819157155
0.324,1.433533952499594
0.326,1.43619692454023
0.328,1.438859735279061
0.33,1.441522384716089
0.332,1.444184872851313
0.334,1.446847199684734
0.336,1.449509365216351
0.338,1.452171369446165
0.34,1.454833212374175
0.342,1.45749489400038
0.344,1.460156414324783
0.346,1.462817773347382
0.348,1.465478971068177
0.35,1.468140007487168
0.352,1.470800882604356
0.354,1.47346159641974
0.356,1.476122148933321
0.358,1.478782540145098
0.36,1.481442770055071
0.362,1.484102838663241
0.364,1.486762745969606
0.366,1.489422491974169
0.368,1.492082076676927
0.37,1.494741500077882
0.372,1.497400762177034
0.374,1.500059862974381
0.376,1.502718802469925
0.378,1.505377580663666
0.38,1.508036197555602
0.382,1.510694653145735
0.384,1.513352947434065
0.386,1.516011080420591
0.388,1.518669052105313
0.39,1.521326862488231
0.392,1.523984511569346
0.394,1.526641999348657
0.396,1.529299325826165
0.398,1.531956491001868
0.4,1.534613494875769
0.402,1.537270337447865
0.404,1.539927018718158
0.406,1.542583538686647
0.408,1.545239897353333
0.41,1.547896094718215
0.412,1.550552130781293
