"time","superSample1.factor","superSample1.inferFactor","superSample1.u","superSample1.y"
0,3,0,0,0
0,3,0,0,0
0,3,0,1,0
0,3,0,1,1
0.002,3,0,1,1
0.004,3,0,1,1
0.006,3,0,1,1
0.00666667,3,0,1,1
0.00666667,3,0,1,1
0.008,3,0,1,1
0.01,3,0,1,1
0.012,3,0,1,1
0.0133333,3,0,1,1
0.0133333,3,0,1,1
0.014,3,0,1,1
0.016,3,0,1,1
0.018,3,0,1,1
0.02,3,0,1,1
0.02,3,0,1,1
0.02,3,0,1,1
0.018,3,0,1,1
0.024,3,0,1,1
0.026,3,0,1,1
0.0266667,3,0,1,1
0.0266667,3,0,1,1
0.028,3,0,1,1
0.03,3,0,1,1
0.032,3,0,1,1
0.0333333,3,0,1,1
0.0333333,3,0,1,1
0.034,3,0,1,1
0.036,3,0,1,1
0.038,3,0,1,1
0.04,3,0,1,1
0.04,3,0,1,1
0.04,3,0,1,1
0.038,3,0,1,1
0.044,3,0,1,1
0.046,3,0,1,1
0.0466667,3,0,1,1
0.0466667,3,0,1,1
0.048,3,0,1,1
0.05,3,0,1,1
0.05,3,0,1,1
0.05,3,0,1,1
0.052,3,0,1,1
0.0533333,3,0,1,1
0.0533333,3,0,1,1
0.054,3,0,1,1
0.056,3,0,1,1
0.058,3,0,1,1
0.06,3,0,1,1
0.06,3,0,2,1
0.06,3,0,2,2
0.058,3,0,2,2
0.064,3,0,2,2
0.066,3,0,2,2
0.0666667,3,0,2,2
0.0666667,3,0,2,2
0.068,3,0,2,2
0.07,3,0,2,2
0.072,3,0,2,2
0.0733333,3,0,2,2
0.0733333,3,0,2,2
0.074,3,0,2,2
0.076,3,0,2,2
0.078,3,0,2,2
0.08,3,0,2,2
0.08,3,0,2,2
0.08,3,0,2,2
0.078,3,0,2,2
0.084,3,0,2,2
0.086,3,0,2,2
0.0866667,3,0,2,2
0.0866667,3,0,2,2
0.088,3,0,2,2
0.09,3,0,2,2
0.092,3,0,2,2
0.0933333,3,0,2,2
0.0933333,3,0,2,2
0.094,3,0,2,2
0.096,3,0,2,2
0.098,3,0,2,2
0.1,3,0,2,2
0.1,3,0,2,2
0.1,3,0,2,2
0.098,3,0,2,2
0.1,3,0,2,2
0.1,3,0,2,2
0.104,3,0,2,2
0.106,3,0,2,2
0.106667,3,0,2,2
0.106667,3,0,2,2
0.108,3,0,2,2
0.11,3,0,2,2
0.112,3,0,2,2
0.113333,3,0,2,2
0.113333,3,0,2,2
0.114,3,0,2,2
0.116,3,0,2,2
0.118,3,0,2,2
0.12,3,0,2,2
0.12,3,0,0,2
0.12,3,0,0,0
0.118,3,0,0,0
0.124,3,0,0,0
0.126,3,0,0,0
0.126667,3,0,0,0
0.126667,3,0,0,0
0.128,3,0,0,0
0.13,3,0,0,0
0.132,3,0,0,0
0.133333,3,0,0,0
0.133333,3,0,0,0
0.134,3,0,0,0
0.136,3,0,0,0
0.138,3,0,0,0
0.14,3,0,0,0
0.14,3,0,0,0
0.14,3,0,0,0
0.138,3,0,0,0
0.144,3,0,0,0
0.146,3,0,0,0
0.146667,3,0,0,0
0.146667,3,0,0,0
0.148,3,0,0,0
0.15,3,0,0,0
0.15,3,0,0,0
0.15,3,0,0,0
0.152,3,0,0,0
0.153333,3,0,0,0
0.153333,3,0,0,0
0.154,3,0,0,0
0.156,3,0,0,0
0.158,3,0,0,0
0.16,3,0,0,0
0.16,3,0,-1,0
0.16,3,0,-1,-1
0.158,3,0,-1,-1
0.164,3,0,-1,-1
0.166,3,0,-1,-1
0.166667,3,0,-1,-1
0.166667,3,0,-1,-1
0.168,3,0,-1,-1
0.17,3,0,-1,-1
0.172,3,0,-1,-1
0.173333,3,0,-1,-1
0.173333,3,0,-1,-1
0.174,3,0,-1,-1
0.176,3,0,-1,-1
0.178,3,0,-1,-1
0.18,3,0,-1,-1
0.18,3,0,-1,-1
0.18,3,0,-1,-1
0.178,3,0,-1,-1
0.184,3,0,-1,-1
0.186,3,0,-1,-1
0.186667,3,0,-1,-1
0.186667,3,0,-1,-1
0.188,3,0,-1,-1
0.19,3,0,-1,-1
0.192,3,0,-1,-1
0.193333,3,0,-1,-1
0.193333,3,0,-1,-1
0.194,3,0,-1,-1
0.196,3,0,-1,-1
0.198,3,0,-1,-1
0.2,3,0,-1,-1
0.2,3,0,-1,-1
0.2,3,0,-1,-1
