"time","vIn.v","vOut.v"
0,5,-4.999333422210372
0.002,5,-4.936906913063418
0.004,5,-4.875259425113208
0.006,5,-4.814381622959472
0.008,5,-4.754264371260878
0.01,5,-4.694898356069874
0.012,5,-4.636273758777406
0.014,5,-4.578381050490585
0.015,5,-4.54970629973746
0.015,4.999999974624948,-4.54970627436579
0.016,4.750000000000001,-4.272027762818361
0.018,4.250000000000001,-3.721876952552739
0.02,3.75,-3.178597002609767
0.022,3.250000000000001,-2.642100856255456
0.024,2.75,-2.112303894200434
0.026,2.250000000000001,-1.589122409448269
0.028,1.750000000000001,-1.072473814052139
0.03,1.250000000000001,-0.5622765694074651
0.032,0.7500000000000007,-0.05845006106769093
0.034,0.2500000000000002,0.4390853057540531
0.035,-2.587509373430663e-08,0.685518412976831
0.035,0,0.6855183871051868
0.036,0,0.6812249292777169
0.038,0,0.6727183726842479
0.04,0,0.6643179427854148
0.042,0,0.6560223653411822
0.044,0,0.6478304539127179
0.046,0,0.639740946955429
0.048,0,0.6317525682410462
0.05,0,0.6238640169832056
0.052,0,0.6160739677402808
0.054,0,0.6083812083391805
0.056,0,0.6007845608971087
0.058,0,0.5932827874628346
0.06,0,0.585874693987164
0.062,0,0.578559103949873
0.064,0,0.5713347971166171
0.065,0,0.5677565146071942
0.065,0,0.5677565146071942
0.066,0.2499999999999031,0.3150172250924886
0.068,0.7499999999999035,-0.185722917134417
0.07,1.249999999999904,-0.6802090157931919
0.072,1.749999999999901,-1.168520605478648
0.074,2.249999999999901,-1.650734551179624
0.076,2.749999999999902,-2.126927276933163
0.078,3.249999999999902,-2.597173824070986
0.08,3.749999999999903,-3.061548453100155
0.082,4.249999999999903,-3.520124513979687
0.084,4.749999999999903,-3.972974454945528
0.085,5.000000027125136,-4.197274535568587
0.085,5,-4.197274508447068
0.086,5,-4.17098664130777
0.088,5,-4.118903186015348
0.09,5,-4.067469966971109
0.092,5,-4.016679246715111
0.094,5,-3.966523267569966
0.096,5,-3.916993896744517
0.098,5,-3.868082943189664
0.1,5,-3.819782529095431
0.102,5,-3.77208508460436
0.104,5,-3.72498326517822
0.106,5,-3.678469612310858
0.108,5,-3.632536642756335
0.11,5,-3.587177197710922
0.112,5,-3.542384305284054
0.114,5,-3.498150787327366
0.115,5,-3.476241585337074
0.115,4.999999972124605,-3.476241557465395
0.116,4.750000000000098,-3.205286222281773
0.118,4.250000000000101,-2.6684552512069
0.12,3.7500000000001,-2.138329256500514
0.122,3.2500000000001,-1.614822851597973
0.124,2.750000000000099,-1.097853632162524
0.126,2.250000000000099,-0.5873395706147317
0.128,1.750000000000099,-0.08320023136612353
0.13,1.250000000000098,0.4146439725991531
0.132,0.7500000000000978,0.9062716424381808
0.134,0.2500000000000974,1.391760462180241
0.135,-2.837508006336975e-08,1.632226857810966
0.135,0,1.632226829439669
0.136,0,1.622004063453272
0.138,0,1.60174999691522
0.14,0,1.581748245950426
0.142,0,1.561996179876801
0.144,0,1.542490665252722
0.146,0,1.52322863099773
0.148,0,1.504207136979738
0.15,0,1.485423496591207
0.152,0,1.46687499226738
0.154,0,1.448558337552662
0.156,0,1.430470616391184
0.158,0,1.412608743407974
0.16,0,1.39496978867132
0.162,0,1.377550995473577
0.164,0,1.36034955169777
0.165,0,1.351829541438479
0.165,0,1.351829541438479
0.166,0.2500000000000002,1.094179455923488
0.168,0.7500000000000007,0.5837090834882452
0.17,1.250000000000001,0.07961456561820882
0.172,1.749999999999995,-0.4181844839239989
0.174,2.249999999999995,-0.9097679934583278
0.176,2.749999999999996,-1.395213159127842
0.178,3.249999999999996,-1.874596450741787
0.18,3.749999999999996,-2.347993595280996
0.182,4.249999999999996,-2.815479509412492
0.184,4.749999999999997,-3.277128033972856
0.185,5.000000029625133,-3.505786088873857
0.185,5,-3.505786059252673
0.186,5,-3.483829040793679
0.188,5,-3.440326339475726
0.19,5,-3.397366832834186
0.192,5,-3.354944048587607
0.194,5,-3.313051275152542
0.196,5,-3.271681648881736
0.198,5,-3.230828674725958
0.2,5,-3.1904858361875
0.202,5,-3.150646704184312
0.204,5,-3.111305006399388
0.206,5,-3.07245453322404
0.208,5,-3.034089196685012
0.21,5,-2.996202871775229
0.212,5,-2.958789688986965
0.214,5,-2.92184361117107
0.215,5,-2.903543945882485
0.215,4.999999969624428,-2.903543915510962
0.216,4.750000000000004,-2.63617527401627
0.218,4.250000000000004,-2.106448989854525
0.22,3.750000000000003,-1.583338674062642
0.222,3.250000000000003,-1.066762972048974
0.224,2.750000000000002,-0.5566374683425011
0.226,2.250000000000002,-0.05288086670259545
0.228,1.750000000000002,0.4445852056677105
0.23,1.250000000000001,0.9358392653708052
0.232,0.7500000000000007,1.420958762454579
0.234,0.2500000000000002,1.900020788337818
0.235,-3.087537864265855e-08,2.137303806933061
0.235,0,2.137303776061798
0.236,0,2.123917672989454
0.238,0,2.097395869078902
0.24,0,2.071204711542559
0.242,0,2.045340567561755
0.244,0,2.019799366008043
0.246,0,1.994577478880667
0.248,0,1.969670928225978
0.25,0,1.945075834292549
0.252,0,1.920788165147095
0.254,0,1.896803879159049
0.256,0,1.873118950126642
0.258,0,1.84972968855198
0.26,0,1.826632180888298
0.262,0,1.803823038167542
0.264,0,1.781298524731144
0.265,0,1.770141986459673
0.265,0,1.770141986459673
0.266,0.2500000000000002,1.509872045808246
0.268,0.7500000000000007,0.9942113241567607
