"time","vIn1.v","vIn2.v","vOut.v"
0,0,5,-4.999333422210372
0.002,0.6266661678215213,5,-4.372750798738647
0.004,1.243449435824274,5,-3.756049757541387
0.006,1.84062276342339,5,-3.158956042437619
0.008,2.408768370508577,5,-2.590886178001023
0.01,2.938926261462366,5,-2.060798965342255
0.012,3.422735529643444,5,-1.577054196463694
0.014,3.852566213878946,5,-1.147280815345675
0.016,4.221639627510076,5,-0.778256604942599
0.018,4.524135262330097,5,-0.475801297496903
0.02,4.755282581475767,5,-0.2446847938850478
0.022,4.911436253643443,5,-0.08855193943129866
0.024,4.990133642141358,5,-0.009865042519639117
0.026,4.990133642141358,5,-0.00986504251963913
0.028,4.911436253643443,5,-0.08855193943129899
0.03,4.755282581475768,5,-0.2446847938850467
0.032,4.524135262330097,5,-0.4758012974969033
0.034,4.221639627510075,5,-0.7782566049425999
0.036,3.852566213878947,5,-1.147280815345673
0.038,3.422735529643444,5,-1.577054196463694
0.04,2.938926261462366,5,-2.060798965342255
0.042,2.408768370508576,5,-2.590886178001024
0.044,1.840622763423391,5,-3.158956042437618
0.046,1.243449435824274,5,-3.756049757541387
0.048,0.6266661678215204,5,-4.372750798738648
0.05,6.123031769111886e-16,5,-4.999333422210371
0.052,-0.6266661678215192,5,-5.625916045682096
0.054,-1.243449435824273,5,-6.242617086879355
0.056,-1.84062276342339,5,-6.839710801983125
0.058,-2.408768370508577,5,-7.407780666419721
0.06,-2.938926261462365,5,-7.937867879078488
0.062,-3.422735529643444,5,-8.421612647957049
0.064,-3.852566213878947,5,-8.851386029075071
0.066,-4.221639627510076,5,-9.220410239478145
0.068,-4.524135262330099,5,-9.522865546923843
0.07,-4.755282581475767,5,-9.753982050535697
0.072,-4.911436253643442,5,-9.910114904989443
0.074,-4.990133642141358,5,-9.988801801901104
0.076,-4.990133642141358,5,-9.988801801901104
0.078,-4.911436253643443,5,-9.910114904989443
0.08,-4.755282581475768,5,-9.753982050535697
0.082,-4.524135262330098,5,-9.522865546923843
0.084,-4.221639627510075,5,-9.220410239478143
0.086,-3.852566213878948,5,-8.851386029075071
0.088,-3.422735529643445,5,-8.421612647957049
0.09,-2.938926261462367,5,-7.93786787907849
0.092,-2.408768370508577,5,-7.407780666419721
0.094,-1.840622763423389,5,-6.839710801983125
0.096,-1.243449435824272,5,-6.242617086879354
0.098,-0.6266661678215233,5,-5.625916045682099
0.1,-1.224606353822377e-15,5,-4.999333422210373
0.102,0.6266661678215164,5,-4.372750798738652
0.104,1.24344943582427,5,-3.756049757541391
0.106,1.840622763423387,5,-3.158956042437622
0.108,2.408768370508574,5,-2.590886178001026
0.11,2.938926261462365,5,-2.060798965342256
0.112,3.422735529643443,5,-1.577054196463695
0.114,3.852566213878946,5,-1.147280815345675
0.116,4.221639627510076,5,-0.7782566049425989
0.118,4.524135262330097,5,-0.4758012974969043
0.12,4.755282581475767,5,-0.2446847938850478
0.122,4.911436253643443,5,-0.08855193943129881
0.124,4.990133642141358,5,-0.009865042519638788
0.126,4.990133642141358,5,-0.009865042519639053
0.128,4.911436253643443,5,-0.08855193943129873
0.13,4.755282581475768,5,-0.2446847938850469
0.132,4.524135262330097,5,-0.4758012974969039
0.134,4.221639627510076,5,-0.7782566049425989
0.136,3.852566213878943,5,-1.147280815345678
0.138,3.422735529643442,5,-1.577054196463696
