"time","n","u[1]","u[2]","y[1]","y[2]"
0,2,0,0,0,0
0.002,2,0,0,0,0
0.004,2,0,0,0,0
0.006,2,0,0,0,0
0.008,2,0,0,0,0
0.01,2,0,0,0,0
0.012,2,0,0,0,0
0.014,2,0,0,0,0
0.016,2,0,0,0,0
0.018,2,0,0,0,0
0.02,2,0,0,0,0
0.022,2,0,0,0,0
0.024,2,0,0,0,0
0.026,2,0,0,0,0
0.028,2,0,0,0,0
0.03,2,0,0,0,0
0.032,2,0,0,0,0
0.034,2,0,0,0,0
0.036,2,0,0,0,0
0.038,2,0,0,0,0
0.04,2,0,0,0,0
0.042,2,0,0,0,0
0.044,2,0,0,0,0
0.046,2,0,0,0,0
0.048,2,0,0,0,0
0.05,2,0,0,0,0
0.052,2,0,0,0,0
0.054,2,0,0,0,0
0.056,2,0,0,0,0
0.058,2,0,0,0,0
0.06,2,0,0,0,0
0.062,2,0,0,0,0
0.064,2,0,0,0,0
0.066,2,0,0,0,0
0.068,2,0,0,0,0
0.07,2,0,0,0,0
0.072,2,0,0,0,0
0.074,2,0,0,0,0
0.076,2,0,0,0,0
0.078,2,0,0,0,0
0.08,2,0,0,0,0
0.082,2,0,0,0,0
0.084,2,0,0,0,0
0.086,2,0,0,0,0
0.088,2,0,0,0,0
0.09,2,0,0,0,0
0.092,2,0,0,0,0
0.094,2,0,0,0,0
0.096,2,0,0,0,0
0.098,2,0,0,0,0
0.1,2,0,0,0,0
0.102,2,0,0,0,0
0.104,2,0,0,0,0
0.106,2,0,0,0,0
0.108,2,0,0,0,0
0.11,2,0,0,0,0
0.112,2,0,0,0,0
0.114,2,0,0,0,0
0.116,2,0,0,0,0
0.118,2,0,0,0,0
0.12,2,0,0,0,0
0.122,2,0,0,0,0
0.124,2,0,0,0,0
0.126,2,0,0,0,0
0.128,2,0,0,0,0
0.13,2,0,0,0,0
0.132,2,0,0,0,0
0.134,2,0,0,0,0
0.136,2,0,0,0,0
0.138,2,0,0,0,0
0.14,2,0,0,0,0
0.142,2,0,0,0,0
0.144,2,0,0,0,0
0.146,2,0,0,0,0
0.148,2,0,0,0,0
0.15,2,0,0,0,0
0.152,2,0,0,0,0
0.154,2,0,0,0,0
0.156,2,0,0,0,0
0.158,2,0,0,0,0
0.16,2,0,0,0,0
0.162,2,0,0,0,0
0.164,2,0,0,0,0
0.166,2,0,0,0,0
0.168,2,0,0,0,0
0.17,2,0,0,0,0
0.172,2,0,0,0,0
0.174,2,0,0,0,0
0.176,2,0,0,0,0
0.178,2,0,0,0,0
0.18,2,0,0,0,0
0.182,2,0,0,0,0
0.184,2,0,0,0,0
0.186,2,0,0,0,0
0.188,2,0,0,0,0
0.19,2,0,0,0,0
0.192,2,0,0,0,0
0.194,2,0,0,0,0
0.196,2,0,0,0,0
0.198,2,0,0,0,0
0.2,2,0,0,0,0
0.202,2,0,0,0,0
0.204,2,0,0,0,0
0.206,2,0,0,0,0
0.208,2,0,0,0,0
0.21,2,0,0,0,0
0.212,2,0,0,0,0
0.214,2,0,0,0,0
0.216,2,0,0,0,0
0.218,2,0,0,0,0
0.22,2,0,0,0,0
0.222,2,0,0,0,0
0.224,2,0,0,0,0
0.226,2,0,0,0,0
0.228,2,0,0,0,0
0.23,2,0,0,0,0
0.232,2,0,0,0,0
0.234,2,0,0,0,0
0.236,2,0,0,0,0
0.238,2,0,0,0,0
0.24,2,0,0,0,0
0.242,2,0,0,0,0
0.244,2,0,0,0,0
0.246,2,0,0,0,0
0.248,2,0,0,0,0
0.25,2,0,0,0,0
0.252,2,0,0,0,0
0.254,2,0,0,0,0
0.256,2,0,0,0,0
0.258,2,0,0,0,0
0.26,2,0,0,0,0
0.262,2,0,0,0,0
0.264,2,0,0,0,0
0.266,2,0,0,0,0
0.268,2,0,0,0,0
0.27,2,0,0,0,0
0.272,2,0,0,0,0
0.274,2,0,0,0,0
0.276,2,0,0,0,0
0.278,2,0,0,0,0
0.28,2,0,0,0,0
0.282,2,0,0,0,0
0.284,2,0,0,0,0
0.286,2,0,0,0,0
0.288,2,0,0,0,0
0.29,2,0,0,0,0
0.292,2,0,0,0,0
0.294,2,0,0,0,0
0.296,2,0,0,0,0
0.298,2,0,0,0,0
0.3,2,0,0,0,0
0.302,2,0,0,0,0
0.304,2,0,0,0,0
0.306,2,0,0,0,0
0.308,2,0,0,0,0
0.31,2,0,0,0,0
0.312,2,0,0,0,0
0.314,2,0,0,0,0
0.316,2,0,0,0,0
0.318,2,0,0,0,0
0.32,2,0,0,0,0
0.322,2,0,0,0,0
0.324,2,0,0,0,0
0.326,2,0,0,0,0
0.328,2,0,0,0,0
0.33,2,0,0,0,0
0.332,2,0,0,0,0
0.334,2,0,0,0,0
0.336,2,0,0,0,0
0.338,2,0,0,0,0
0.34,2,0,0,0,0
0.342,2,0,0,0,0
0.344,2,0,0,0,0
0.346,2,0,0,0,0
0.348,2,0,0,0,0
