"time","m","nin","nout","y[1]","y[2]"
0,3,3,2,0,0
0.002,3,3,2,0,0
0.004,3,3,2,0,0
0.006,3,3,2,0,0
0.008,3,3,2,0,0
0.01,3,3,2,0,0
0.012,3,3,2,0,0
0.014,3,3,2,0,0
0.016,3,3,2,0,0
0.018,3,3,2,0,0
0.02,3,3,2,0,0
0.022,3,3,2,0,0
0.024,3,3,2,0,0
0.026,3,3,2,0,0
0.028,3,3,2,0,0
0.03,3,3,2,0,0
0.032,3,3,2,0,0
0.034,3,3,2,0,0
0.036,3,3,2,0,0
0.038,3,3,2,0,0
0.04,3,3,2,0,0
0.042,3,3,2,0,0
0.044,3,3,2,0,0
0.046,3,3,2,0,0
0.048,3,3,2,0,0
0.05,3,3,2,0,0
0.052,3,3,2,0,0
0.054,3,3,2,0,0
0.056,3,3,2,0,0
0.058,3,3,2,0,0
0.06,3,3,2,0,0
0.062,3,3,2,0,0
0.064,3,3,2,0,0
0.066,3,3,2,0,0
0.068,3,3,2,0,0
0.07,3,3,2,0,0
0.072,3,3,2,0,0
0.074,3,3,2,0,0
0.076,3,3,2,0,0
0.078,3,3,2,0,0
0.08,3,3,2,0,0
0.082,3,3,2,0,0
0.084,3,3,2,0,0
0.086,3,3,2,0,0
0.088,3,3,2,0,0
0.09,3,3,2,0,0
0.092,3,3,2,0,0
0.094,3,3,2,0,0
0.096,3,3,2,0,0
0.098,3,3,2,0,0
0.1,3,3,2,0,0
0.102,3,3,2,0,0
0.104,3,3,2,0,0
0.106,3,3,2,0,0
0.108,3,3,2,0,0
0.11,3,3,2,0,0
0.112,3,3,2,0,0
0.114,3,3,2,0,0
0.116,3,3,2,0,0
0.118,3,3,2,0,0
0.12,3,3,2,0,0
0.122,3,3,2,0,0
0.124,3,3,2,0,0
0.126,3,3,2,0,0
0.128,3,3,2,0,0
0.13,3,3,2,0,0
0.132,3,3,2,0,0
0.134,3,3,2,0,0
0.136,3,3,2,0,0
0.138,3,3,2,0,0
0.14,3,3,2,0,0
0.142,3,3,2,0,0
0.144,3,3,2,0,0
0.146,3,3,2,0,0
0.148,3,3,2,0,0
0.15,3,3,2,0,0
0.152,3,3,2,0,0
0.154,3,3,2,0,0
0.156,3,3,2,0,0
0.158,3,3,2,0,0
0.16,3,3,2,0,0
0.162,3,3,2,0,0
0.164,3,3,2,0,0
