"time","c","der(height)","der(velocity)","redius","velocity","height"
0,0.9,0,-9.81,0.1,0,1
0.002,0.9,-0.01962000000000001,-9.81,0.1,-0.01962000000000001,0.9999803799991929
0.004,0.9,-0.03924,-9.81,0.1,-0.03924,0.9999215199991058
0.006,0.9,-0.05885999999999999,-9.81,0.1,-0.05885999999999999,0.9998234199990557
0.008,0.9,-0.07847999999999999,-9.81,0.1,-0.07847999999999999,0.9996860799990154
0.01,0.9,-0.09809999999999999,-9.81,0.1,-0.09809999999999999,0.9995094999989889
0.012,0.9,-0.11772,-9.81,0.1,-0.11772,0.9992936799989599
0.014,0.9,-0.13734,-9.81,0.1,-0.13734,0.9990386199989363
0.016,0.9,-0.15696,-9.81,0.1,-0.15696,0.998744319998918
0.018,0.9,-0.17658,-9.81,0.1,-0.17658,0.998410779998905
0.02,0.9,-0.1962,-9.81,0.1,-0.1962,0.9980379999988916
0.022,0.9,-0.21582,-9.81,0.1,-0.21582,0.9976259799988757
0.024,0.9,-0.23544,-9.81,0.1,-0.23544,0.9971747199988611
0.026,0.9,-0.25506,-9.81,0.1,-0.25506,0.9966842199988478
0.028,0.9,-0.27468,-9.81,0.1,-0.27468,0.9961544799988359
0.03,0.9,-0.2943,-9.81,0.1,-0.2943,0.9955854999988253
0.032,0.9,-0.31392,-9.81,0.1,-0.31392,0.9949772799988159
0.034,0.9,-0.3335400000000001,-9.81,0.1,-0.3335400000000001,0.994329819998808
0.036,0.9,-0.35316,-9.81,0.1,-0.35316,0.9936431199988014
0.038,0.9,-0.37278,-9.81,0.1,-0.37278,0.9929171799987956
0.04,0.9,-0.3924,-9.81,0.1,-0.3924,0.9921519999987866
0.042,0.9,-0.4120200000000001,-9.81,0.1,-0.4120200000000001,0.9913475799987778
0.044,0.9,-0.43164,-9.81,0.1,-0.43164,0.9905039199987695
0.046,0.9,-0.45126,-9.81,0.1,-0.45126,0.9896210199987615
0.048,0.9,-0.4708800000000001,-9.81,0.1,-0.4708800000000001,0.9886988799987539
0.05,0.9,-0.4905,-9.81,0.1,-0.4905,0.9877374999987467
0.052,0.9,-0.51012,-9.81,0.1,-0.51012,0.9867368799987399
0.054,0.9,-0.5297400000000001,-9.81,0.1,-0.5297400000000001,0.9856970199987334
0.056,0.9,-0.5493600000000001,-9.81,0.1,-0.5493600000000001,0.9846179199987273
0.058,0.9,-0.56898,-9.81,0.1,-0.56898,0.9834995799987216
0.06,0.9,-0.5886,-9.81,0.1,-0.5886,0.9823419999987163
0.062,0.9,-0.6082200000000001,-9.81,0.1,-0.6082200000000001,0.9811451799987112
0.064,0.9,-0.6278400000000001,-9.81,0.1,-0.6278400000000001,0.9799091199987067
0.066,0.9,-0.64746,-9.81,0.1,-0.64746,0.9786338199987025
0.068,0.9,-0.6670800000000001,-9.81,0.1,-0.6670800000000001,0.9773192799986985
0.07,0.9,-0.6867000000000001,-9.81,0.1,-0.6867000000000001,0.9759654999986951
0.072,0.9,-0.7063200000000001,-9.81,0.1,-0.7063200000000001,0.974572479998692
0.074,0.9,-0.72594,-9.81,0.1,-0.72594,0.9731402199986892
0.076,0.9,-0.7455599999999998,-9.81,0.1,-0.7455599999999998,0.9716687199986863
0.078,0.9,-0.7651799999999999,-9.81,0.1,-0.7651799999999999,0.9701579799986815
0.08,0.9,-0.7847999999999998,-9.81,0.1,-0.7847999999999998,0.9686079999986769
0.082,0.9,-0.8044199999999998,-9.81,0.1,-0.8044199999999998,0.9670187799986721
0.084,0.9,-0.8240399999999999,-9.81,0.1,-0.8240399999999999,0.9653903199986676
0.086,0.9,-0.8436599999999997,-9.81,0.1,-0.8436599999999997,0.9637226199986632
0.088,0.9,-0.8632799999999997,-9.81,0.1,-0.8632799999999997,0.9620156799986589
