"time","i_C","i_L","i_R"
0,0,0,0
0.002,0.04749147660012545,0.04796812827064091,0.0004766516705154642
0.004,0.0938546081216536,0.09574672770897405,0.001892119587320458
0.006,0.1389281052126711,0.1431503301937262,0.004222224981055079
0.008,0.1825590695570304,0.1899986961549579,0.007439626597927573
0.01,0.2246033414548363,0.2361173537159462,0.01151401226110994
0.012,0.2649258832379128,0.2813381672603265,0.0164122840224137
0.014,0.3034011524420826,0.325499887670382,0.02209873522829944
0.016,0.3399134091820716,0.3684486543592426,0.02853524517717106
0.018,0.3743569773751379,0.4100384573769716,0.03568148000183373
0.02,0.4066364572086652,0.4501315528855042,0.04349509567683894
0.022,0.4366668766841318,0.488598822642418,0.05193194595828619
0.024,0.4643738563449864,0.5253201458005388,0.06094628945555237
0.026,0.4896937387199218,0.5601847397640551,0.07049100104413336
0.028,0.5125735860007435,0.5930913729451588,0.08051778694441529
0.03,0.5329710819170044,0.6239484897811153,0.0909774078641109
0.032,0.5508546424201985,0.652674522370659,0.1018198799504604
0.034,0.5662033282100646,0.6791980248345179,0.1129946966244533
0.036,0.5790064779591227,0.7034575127576275,0.1244510347985047
0.038,0.5892638923021336,0.7254018608700707,0.1361379685679372
0.04,0.5969853160935357,0.7449899768105219,0.1480046607169863
0.042,0.6021904375552791,0.762191012971869,0.1600005754165898
0.044,0.6049084627637942,0.7769841261221708,0.1720756633583766
0.046,0.6051778540065431,0.7893584013759775,0.1841805473694344
0.048,0.6030460852342965,0.7993128088788957,0.1962667236445991
0.05,0.5985690822725613,0.8068557851446888,0.2082867028721275
0.052,0.5918110681269012,0.8120052894435519,0.2201942213166506
0.054,0.5828439227383165,0.814788278141868,0.2319443554035515
0.056,0.5717469156620512,0.8152406247663656,0.2434937091043144
0.058,0.5586061526248536,0.8134066900332682,0.2548005374084146
0.06,0.5435141013740903,0.8093389689636152,0.2658248675895249
0.062,0.5265691862907041,0.8030978535376904,0.2765286672469862
0.064,0.5078751463253558,0.7947510357792715,0.2868758894539157
0.066,0.4875406538142784,0.7843733017826796,0.2968326479684013
0.068,0.4656786762707982,0.7720459209529632,0.306367244682165
0.07,0.4424060198200749,0.7578563169158339,0.3154502970957589
0.072,0.4178427526809888,0.7418975454242888,0.3240547927433
0.074,0.3921116687265842,0.7242677944709696,0.3321561257443854
0.076,0.3653377683177536,0.7050699784112623,0.3397322100935087
0.078,0.3376476925032889,0.6844111251025738,0.346763432599285
0.08,0.3091692074520644,0.6624019709851442,0.3532327635330798
0.082,0.2800306683099601,0.6391563754888895,0.3591257071789294
0.084,0.2503605055016047,0.614790854585034,0.3644303490834293
0.086,0.2202866994777771,0.5894240453120524,0.3691373458342753
0.088,0.1899363201355467,0.5631761996374395,0.3732398795018927
0.09,0.1594349771717713,0.5361686765009117,0.3767336993291404
0.092,0.1289064335813808,0.5085234423170124,0.3796170087356316
0.094,0.09847207071822928,0.4803625667075312,0.3818904959893019
0.096,0.06825051894209061,0.4518077479457971,0.3835572290037065
0.098,0.03835721585444551,0.4229798384236176,0.3846226225691721
0.1,0.008903984662338216,0.3939983600850775,0.3850943754227393
0.102,-0.02000124883923804,0.3649811115209639,0.3849823603602019
0.104,-0.0482549446798799,0.3360436519980333,0.3842985966779132
0.106,-0.07575811383693826,0.3072989860665843,0.3830570999035225
