"time","A","T0","T_inf","c_p","h","m","der(T)","T"
0,1,100,25,4200,767,1,-13.69642857142857,100
0.002,1,100,25,4200,767,1,-13.69142702737209,99.97261214467115
0.004,1,100,25,4200,767,1,-13.68642730958722,99.94523428978661
0.006,1,100,25,4200,767,1,-13.68142941704245,99.91786642969791
0.008,1,100,25,4200,767,1,-13.67643334966363,99.89050856399902
0.01,1,100,25,4200,767,1,-13.67143910493776,99.86316067892903
0.012,1,100,25,4200,767,1,-13.66644668332666,99.83582277701693
0.014,1,100,25,4200,767,1,-13.66145608500633,99.80849485922634
0.016,1,100,25,4200,767,1,-13.65646730997677,99.78117692555729
0.018,1,100,25,4200,767,1,-13.65148035072346,99.75386893486117
0.02,1,100,25,4200,767,1,-13.64649520956105,99.72657089981281
0.022,1,100,25,4200,767,1,-13.641511887902,99.69928282814652
0.024,1,100,25,4200,767,1,-13.63653038574628,99.67200471986229
0.026,1,100,25,4200,767,1,-13.63155070309391,99.64473657496012
0.028,1,100,25,4200,767,1,-13.62657283994488,99.61747839344004
0.03,1,100,25,4200,767,1,-13.6215967962992,99.59023017530201
0.032,1,100,25,4200,767,1,-13.61662257215686,99.56299192054604
0.034,1,100,25,4200,767,1,-13.61165014701543,99.53576351690329
0.036,1,100,25,4200,767,1,-13.60667952255093,99.50854497355135
0.038,1,100,25,4200,767,1,-13.60171071004538,99.48133635226937
0.04,1,100,25,4200,767,1,-13.5967437094988,99.45413765305732
0.042,1,100,25,4200,767,1,-13.59177852091118,99.4269488759152
0.044,1,100,25,4200,767,1,-13.58681514428253,99.39977002084304
0.046,1,100,25,4200,767,1,-13.58185357961283,99.37260108784081
0.048,1,100,25,4200,767,1,-13.5768938269021,99.34544207690851
0.05,1,100,25,4200,767,1,-13.57193588615034,99.31829298804617
0.052,1,100,25,4200,767,1,-13.56697975735753,99.29115382125376
0.054,1,100,25,4200,767,1,-13.56202544052369,99.26402457653128
0.056,1,100,25,4200,767,1,-13.55707293564881,99.23690525387876
0.058,1,100,25,4200,767,1,-13.5521222427329,99.20979585329619
0.06,1,100,25,4200,767,1,-13.54717336177595,99.18269637478355
0.062,1,100,25,4200,767,1,-13.54222629277796,99.15560681834084
0.064,1,100,25,4200,767,1,-13.53728103573894,99.12852718396809
0.066,1,100,25,4200,767,1,-13.53233757641652,99.10145739367586
0.068,1,100,25,4200,767,1,-13.52739587763383,99.07439724388799
0.07,1,100,25,4200,767,1,-13.52245598345306,99.04734697588377
0.072,1,100,25,4200,767,1,-13.51751789387422,99.02030658966324
0.074,1,100,25,4200,767,1,-13.51258160889729,98.99327608522637
0.076,1,100,25,4200,767,1,-13.50764712852229,98.96625546257316
0.078,1,100,25,4200,767,1,-13.50271445274921,98.9392447217036
0.08,1,100,25,4200,767,1,-13.49778358157805,98.91224386261774
0.082,1,100,25,4200,767,1,-13.49285451500881,98.88525288531554
0.084,1,100,25,4200,767,1,-13.4879272530415,98.85827178979699
0.086,1,100,25,4200,767,1,-13.48300179567611,98.83130057606212
0.088,1,100,25,4200,767,1,-13.47807814291264,98.80433924411092
0.09,1,100,25,4200,767,1,-13.47315629475109,98.77738779394338
0.092,1,100,25,4200,767,1,-13.46823625119146,98.7504462255595
0.094,1,100,25,4200,767,1,-13.46331801223376,98.72351453895929
0.096,1,100,25,4200,767,1,-13.45840157787798,98.69659273414275
0.098,1,100,25,4200,767,1,-13.45348694812411,98.66968081110988
0.1,1,100,25,4200,767,1,-13.44857398866103,98.64277803438894
0.102,1,100,25,4200,767,1,-13.44366279293792,98.61588491569658
0.104,1,100,25,4200,767,1,-13.43875338345671,98.58900157825055
0.106,1,100,25,4200,767,1,-13.43384576021738,98.56212802205083
0.108,1,100,25,4200,767,1,-13.42893992321993,98.53526424709743
0.11,1,100,25,4200,767,1,-13.42403587246438,98.50841025339037
0.112,1,100,25,4200,767,1,-13.41913360795072,98.48156604092962
0.114,1,100,25,4200,767,1,-13.41423312967894,98.45473160971518
0.116,1,100,25,4200,767,1,-13.40933443764905,98.42790695974708
0.118,1,100,25,4200,767,1,-13.40443753186105,98.40109209102528
0.12,1,100,25,4200,767,1,-13.39954241231493,98.37428700354981
0.122,1,100,25,4200,767,1,-13.3946490790107,98.34749169732068
0.124,1,100,25,4200,767,1,-13.38975753194836,98.32070617233785
0.126,1,100,25,4200,767,1,-13.38486777112791,98.29393042860134
0.128,1,100,25,4200,767,1,-13.37997979654935,98.26716446611115
0.13,1,100,25,4200,767,1,-13.37509360821267,98.24040828486729
0.132,1,100,25,4200,767,1,-13.37020920611788,98.21366188486975
0.134,1,100,25,4200,767,1,-13.36532659026498,98.18692526611854
0.136,1,100,25,4200,767,1,-13.36044576065396,98.16019842861363
0.138,1,100,25,4200,767,1,-13.35556671728484,98.13348137235505
0.14,1,100,25,4200,767,1,-13.3506894601576,98.10677409734278
0.142,1,100,25,4200,767,1,-13.34581398927225,98.08007660357684
0.144,1,100,25,4200,767,1,-13.34094030462879,98.05338889105724
0.146,1,100,25,4200,767,1,-13.33606840622721,98.02671095978394
0.148,1,100,25,4200,767,1,-13.33119829406752,98.00004280975696
0.15,1,100,25,4200,767,1,-13.32632996814972,97.9733844409763
0.152,1,100,25,4200,767,1,-13.32146342847381,97.94673585344196
0.154,1,100,25,4200,767,1,-13.31659867503978,97.92009704715396
0.156,1,100,25,4200,767,1,-13.31173570784765,97.89346802211227
0.158,1,100,25,4200,767,1,-13.3068745268974,97.86684877831691
0.16,1,100,25,4200,767,1,-13.30201513218903,97.84023931576785
0.162,1,100,25,4200,767,1,-13.29715752372256,97.81363963446512
0.164,1,100,25,4200,767,1,-13.29230168481271,97.78704964304224
0.166,1,100,25,4200,767,1,-13.28744743606041,97.76046835913132
0.168,1,100,25,4200,767,1,-13.28259496100831,97.73389678778999
0.17,1,100,25,4200,767,1,-13.27774425965642,97.70733492901822
0.172,1,100,25,4200,767,1,-13.27289533200474,97.68078278281605
0.174,1,100,25,4200,767,1,-13.26804817805327,97.65424034918347
0.176,1,100,25,4200,767,1,-13.263202797802,97.62770762812048
0.178,1,100,25,4200,767,1,-13.25835919125094,97.60118461962705
0.18,1,100,25,4200,767,1,-13.25351735840009,97.57467132370321
0.182,1,100,25,4200,767,1,-13.24867729924944,97.54816774034896
0.184,1,100,25,4200,767,1,-13.24383901379901,97.52167386956431
0.186,1,100,25,4200,767,1,-13.23900250204878,97.49518971134923
0.188,1,100,25,4200,767,1,-13.23416776399875,97.46871526570374
0.19,1,100,25,4200,767,1,-13.22933479964894,97.44225053262781
0.192,1,100,25,4200,767,1,-13.22450360899933,97.41579551212149
0.194,1,100,25,4200,767,1,-13.21967419204993,97.38935020418475
0.196,1,100,25,4200,767,1,-13.21484654880074,97.36291460881759
0.198,1,100,25,4200,767,1,-13.21002067925175,97.33648872602002
0.2,1,100,25,4200,767,1,-13.20519658340297,97.31007255579202
0.202,1,100,25,4200,767,1,-13.2003742612544,97.28366609813362
0.204,1,100,25,4200,767,1,-13.19555371280604,97.2572693530448
0.206,1,100,25,4200,767,1,-13.19073493805788,97.23088232052557
0.208,1,100,25,4200,767,1,-13.18591793700994,97.20450500057592
0.21,1,100,25,4200,767,1,-13.18110270966219,97.17813739319585
0.212,1,100,25,4200,767,1,-13.17628925601466,97.15177949838535
0.214,1,100,25,4200,767,1,-13.17147757606733,97.12543131614446
0.216,1,100,25,4200,767,1,-13.16666766982021,97.09909284647314
0.218,1,100,25,4200,767,1,-13.1618595372733,97.07276408937142
0.22,1,100,25,4200,767,1,-13.1570531784266,97.04644504483927
0.222,1,100,25,4200,767,1,-13.1522485932801,97.02013571287669
0.224,1,100,25,4200,767,1,-13.14744560009505,96.99383509830407
0.226,1,100,25,4200,767,1,-13.14264423792752,96.96754341498774
0.228,1,100,25,4200,767,1,-13.13784462897311,96.94126133205611
0.23,1,100,25,4200,767,1,-13.13304677323179,96.91498884950914
0.232,1,100,25,4200,767,1,-13.12825067070358,96.88872596734684
0.234,1,100,25,4200,767,1,-13.12345632138847,96.86247268556922
0.236,1,100,25,4200,767,1,-13.11866372528647,96.83622900417626
0.238,1,100,25,4200,767,1,-13.11387288239758,96.80999492316799
0.24,1,100,25,4200,767,1,-13.1090837927218,96.78377044254439
