"time","control","der(waterLevel)","error","waterLevel"
0,-0.2,-0.2,-0.2,0.2
0.002,-0.1996003996865233,-0.1996003996865233,-0.1996003996865233,0.1996003996865233
0.004,-0.1992015974454639,-0.1992015974454639,-0.1992015974454639,0.1992015974454639
0.006,-0.1988035907884445,-0.1988035907884445,-0.1988035907884445,0.1988035907884445
0.008,-0.1984063795384428,-0.1984063795384428,-0.1984063795384428,0.1984063795384428
0.01,-0.1980099577231592,-0.1980099577231592,-0.1980099577231592,0.1980099577231592
0.012,-0.1976143264402428,-0.1976143264402428,-0.1976143264402428,0.1976143264402428
0.014,-0.1972194861079309,-0.1972194861079309,-0.1972194861079309,0.1972194861079309
0.016,-0.1968254367262235,-0.1968254367262235,-0.1968254367262235,0.1968254367262235
0.018,-0.1964321606006564,-0.1964321606006564,-0.1964321606006564,0.1964321606006564
0.02,-0.1960396631815765,-0.1960396631815765,-0.1960396631815765,0.1960396631815765
0.022,-0.1956479477948461,-0.1956479477948461,-0.1956479477948461,0.1956479477948461
0.024,-0.1952570144404654,-0.1952570144404654,-0.1952570144404654,0.1952570144404654
0.026,-0.1948668631184343,-0.1948668631184343,-0.1948668631184343,0.1948668631184343
0.028,-0.1944774938287528,-0.1944774938287528,-0.1944774938287528,0.1944774938287528
0.03,-0.194088906571421,-0.194088906571421,-0.194088906571421,0.194088906571421
0.032,-0.1937011013464388,-0.1937011013464388,-0.1937011013464388,0.1937011013464388
0.034,-0.1933140546864219,-0.1933140546864219,-0.1933140546864219,0.1933140546864219
0.036,-0.1929277685097522,-0.1929277685097522,-0.1929277685097522,0.1929277685097522
0.038,-0.1925422557300231,-0.1925422557300231,-0.1925422557300231,0.1925422557300231
0.04,-0.1921575163472348,-0.1921575163472348,-0.1921575163472348,0.1921575163472348
0.042,-0.1917735503613872,-0.1917735503613872,-0.1917735503613872,0.1917735503613872
0.044,-0.1913903577724803,-0.1913903577724803,-0.1913903577724803,0.1913903577724803
0.046,-0.191007938580514,-0.191007938580514,-0.191007938580514,0.191007938580514
0.048,-0.1906262927854885,-0.1906262927854885,-0.1906262927854885,0.1906262927854885
