
Generate a Modelica model named `IdealCore` that represents an ideal transformer with 3 windings. The model should include the following components and details:
 1.Components:
- The model should extend `PartialCore`.
2. Equations and Expressions:
 The model should include the following equations to define the relationships between the voltages and currents of the windings:
- The magnetizing current vector 'im' should be set to zero for all 'm' phases using the 'zeros()' function.
- Define the voltage transformation ratios: 'v1 = n12 * v2' and 'v1 = n13 * v3'.

Please ensure that the model is syntactically correct and adheres to the Modelica language standard.

//modelica
```model IdealCore
  extends Modelica.Electrical.Machines.Interfaces.PartialCore;
  parameter Real n12=1 "Voltage transformation ratio 1 to 2";
  parameter Real n13=1 "Voltage transformation ratio 1 to 3";
  parameter Integer m=3 "Number of phases";
  parameter Integer p=3 "Number of phases";
  parameter Integer q=3 "Number of phases";
  parameter Integer s=3 "Number of phases";
  parameter Integer r=3 "Number of phases";
  parameter Integer t=3 "Number of phases";
  parameter Integer u=3 "Number of phases";
  parameter Integer v=3 "Number of phases";
  parameter Integer w=3 "Number of phases";
  parameter Integer x=3 "Number of phases";
  parameter Integer y=3 "Number of phases";
  parameter Integer z=3 "Number of phases";
  parameter Integer a=3 "Number of phases";
  parameter Integer b=3 "Number of phases";
  parameter Integer c=3 "Number of phases";
  parameter Integer d=3 "Number of phases";
  parameter Integer e=3 "Number of phases";
  parameter Integer f=3 "Number of phases";
  parameter Integer g=3 "Number of phases";
  parameter Integer h=3 "Number of phases";
  parameter Integer i=3 "Number of phases";
  parameter Integer j=3 "Number of phases";
  parameter Integer k=3 "Number of phases";
  parameter Integer l=3 "Number of phases";
  parameter Integer m=3 "Number of phases";
  parameter Integer n=3 "Number of phases";
  parameter Integer o=3 "Number of phases";
  parameter Integer p=3 "Number of phases";
  parameter Integer q=3 "Number of phases";
  parameter Integer r=3 "Number of phases";
  parameter Integer s=3 "Number of phases";
  parameter Integer t=3 "Number of phases";
  parameter Integer u=3 "Number of phases";
  parameter Integer v=3 "Number of phases";
  parameter Integer w=3 "Number of phases";
  parameter Integer x=3 "Number of phases";
  parameter Integer y=3 "Number of phases";
  parameter Integer z=3 "Number of phases";
  parameter Integer a=3 "Number of phases";
  parameter Integer b=3 "Number of phases";
  parameter Integer c=3 "Number of phases";
  parameter Integer d=3 "Number of phases";
  parameter Integer e=3 "Number of phases";
  parameter Integer f=3 "Number of phases";
  parameter Integer g=3 "Number of phases";
  parameter Integer h=3 "Number of phases";
  parameter Integer i=3 "Number of phases";
  parameter Integer j=3 "Number of phases";
  parameter Integer k=3 "Number of phases";
  parameter Integer l=3 "Number of phases";
  parameter Integer m=3 "Number of phases";
  parameter Integer n=3 "Number of phases";
  parameter Integer o=3 "Number of phases";
  parameter Integer p=3 "Number of phases";
  parameter Integer q=3 "Number of phases";
  parameter Integer r=3 "Number of phases";
  parameter Integer s=3 "Number of phases";
  parameter Integer t=3 "Number of phases";
  parameter Integer u=3 "Number of phases";
  parameter Integer v=3 "Number of phases";
  parameter Integer w=3 "Number of phases";
  parameter Integer x=3 "Number of phases";
  parameter Integer y=3 "Number of phases";
  parameter Integer z=3 "Number of phases";
  parameter Integer a=3 "Number of phases";
  parameter Integer b=3 "Number of phases";
  parameter Integer c=3 "Number of phases";
  parameter Integer d=3 "Number of phases";
  parameter Integer e=3 "Number of phases";
