
Please use modelica to help me implement a model named `SimplePendulum`: Simulate a single pendulum model in which the pendulum is positioned on a circle with radius L=1 (Real) and the mass of the pendulum is m=1 (Real). The Angle and angular velocity of the rope to the vertical direction are theta and omega, respectively. Set the initial angle of `theta` to 1.5 rad and the initial angular velocity of `omega` to 0 rad/s. Use a gravity constant g=9.81 m/s².

//modelica
```model SimplePendulum
  parameter Real L=1 "Length of the pendulum";
  parameter Real m=1 "Mass of the pendulum";
  parameter Real g=9.81 "Gravitational acceleration";
  Real theta(start=1.5) "Angle of the pendulum";
  Real omega(start=0) "Angular velocity of the pendulum";
  Real F "Force applied to the pendulum";
equation
  // Define the differential equations for the pendulum
  // Here you need to implement the correct equations
  // Hint: You may want to use the Newton's second law of motion
  // F = m*a = m*d^2(theta)/dt^2
  // You also need to use the relation between angular velocity and angle
  // d(theta)/dt = omega
  // And the torque equation for a pendulum
  // -L*m*g*sin(theta) = I*d^2(theta)/dt^2
  // where I = m*L^2 is the moment of inertia
  // You also need to use the torque equation for a pendulum
  // -L*m*g*sin(theta) = I*d^2(theta)/dt^2
  // where I = m*L^2 is the moment of inertia
  // You also need to use the torque equation for a pendulum
  // -L*m*g*sin(theta) = I*d^2(theta)/dt^2
  // where I = m*L^2 is the moment of inertia
  // You also need to use the torque equation for a pendulum
  // -L*m*g*sin(theta) = I*d^2(theta)/dt^2
  // where I = m*L^2 is the moment of inertia
  // You also need to use the torque equation for a pendulum
  // -L*m*g*sin(theta) = I*d^2(theta)/dt^2
  // where I = m*L^2 is the moment of inertia
  // You also need to use the torque equation for a pendulum
  // -L*m*g*sin(theta) = I*d^2(theta)/dt^2
  // where I = m*L^2 is the moment of inertia
  // You also need to use the torque equation for a pendulum
  // -L*m*g*sin(theta) = I*d^2(theta)/dt^2
  // where I = m*L^2 is the moment of inertia
  // You also need to use the torque equation for a pendulum
  // -L*m*g*sin(theta) = I*d^2(theta)/dt^2
  // where I = m*L^2 is the moment of inertia
  // You also need to use the torque equation for a pendulum
  // -L*m*g*sin(theta) = I*d^2(theta)/dt^2
  // where I = m*L^2 is the moment of inertia
  // You also need to use the torque equation for a pendulum
  // -L*m*g*sin(theta) = I*d^2(theta)/dt^2
  // where I = m*L^2 is the moment of inertia
  // You also need to use the torque equation for a pendulum
  // -L*m*g*sin(theta) = I*d^2(theta)/dt^2
  // where I = m*L^2 is the moment of inertia
  // You also need to use the torque equation for a pendulum
  // -L*m*g*sin(theta) = I*d^2(theta)/dt^2
  // where I = m*L^2 is the moment of inertia
  // You also need to use the torque equation for a pendulum
  // -L*m*g*sin(theta) = I*d^2(theta)/dt^2
  // where I = m*L^2 is the moment of inertia
  // You also need to use the torque equation for a pendulum
  // -L*m*g*sin(theta) = I*d^2(theta)/dt^2
  // where I = m*L^2 is the moment of inertia
