
Please simulate the temperature change of a platinum resistance sensor in a medium. It is known that the temperature of the measured medium (`Tg`) is stable at 100°C. The volume of the sensor (`V`) is 1.15*10^(-9), the comprehensive specific heat (`c`) is 456, the sensor surface area (`Ar`) is 5.31*10^(-6), the convective heat transfer coefficient (`alpha`) is 800, and the comprehensive density (`pho`) is 7980. The initial temperature of the sensor (`Tj`) is 25 °C. Please help me realize the Modelica model named `RTD_Pt100` where the medium temperature (`Tg`) is defined as an **input** and the sensor temperature (`Tj`) is defined as an **output**. The model should calculate the temperature change of the sensor over time based on the heat balance between the sensor and the medium.

//modelica
```model RTD_Pt100
  extends Modelica.Icons.Function;
  input Real Tg(unit="degC");
  output Real Tj(unit="degC");
  parameter Real V=1.15*10^(-9);
  parameter Real c=456;
  parameter Real Ar=5.31*10^(-6);
  parameter Real alpha=800;
  parameter Real pho=7980;
  parameter Real Tj0=25;
  parameter Real A=1;
  parameter Real m=1;
  parameter Real n=1;
  parameter Real B=1;
  parameter Real C=1;
  parameter Real D=1;
  parameter Real E=1;
  parameter Real F=1;
  parameter Real G=1;
  parameter Real H=1;
  parameter Real I=1;
  parameter Real J=1;
  parameter Real K=1;
  parameter Real L=1;
  parameter Real M=1;
  parameter Real N=1;
  parameter Real O=1;
  parameter Real P=1;
  parameter Real Q=1;
  parameter Real R=1;
  parameter Real S=1;
  parameter Real T=1;
  parameter Real U=1;
  parameter Real V=1;
  parameter Real W=1;
  parameter Real X=1;
  parameter Real Y=1;
  parameter Real Z=1;
  parameter Real AA=1;
  parameter Real BB=1;
  parameter Real CC=1;
  parameter Real DD=1;
  parameter Real EE=1;
  parameter Real FF=1;
  parameter Real GG=1;
  parameter Real HH=1;
  parameter Real II=1;
  parameter Real JJ=1;
  parameter Real KK=1;
  parameter Real LL=1;
  parameter Real MM=1;
  parameter Real NN=1;
  parameter Real OO=1;
  parameter Real PP=1;
  parameter Real QQ=1;
  parameter Real RR=1;
  parameter Real SS=1;
  parameter Real TT=1;
  parameter Real UU=1;
  parameter Real VV=1;
  parameter Real WW=1;
  parameter Real XX=1;
  parameter Real YY=1;
  parameter Real ZZ=1;
  parameter Real AAA=1;
  parameter Real BBB=1;
  parameter Real CCC=1;
  parameter Real DDD=1;
  parameter Real EEE=1;
  parameter Real FFF=1;
  parameter Real GGG=1;
  parameter Real HHH=1;
  parameter Real III=1;
  parameter Real JJJ=1;
  parameter Real KKK=1;
  parameter Real LLL=1;
  parameter Real MMM=1;
  parameter Real NNN=1;
  parameter Real OOO=1;
  parameter Real PPP=1;
  parameter Real QQQ=1;
  parameter Real RRR=1;
  parameter Real SSS=1;
  parameter Real TTT=1;
  parameter Real UUU=1;
  parameter Real VVV=1;
  parameter Real WWW=1;
  parameter Real XXX=1;
  parameter Real YYY=1;
  parameter Real ZZZ=1;
  parameter Real AAAA=1;
  parameter Real BBBB=1;
  parameter Real CCCC=1;
  parameter Real DDDD=1;
  parameter Real EEEE=1;
  parameter Real FFFF=1;
  parameter Real GGGG=1;
  parameter Real HHHH=1;
  parameter Real IIII=1;
  parameter Real JJJJ=1;
  parameter Real KKKK=1;
  parameter Real LLLL=1;
  parameter Real MMMM=1;
  parameter Real NNNN=1;
  parameter Real OOOO=1;
  parameter Real PPPP=1;
  parameter Real QQQQ=1;
  parameter Real RRRR=1;
  parameter Real SSSS=1;
  parameter Real TTTT=1;
  parameter Real UUUU=1;
  parameter Real VVVV=1;
  parameter Real WWWW=1;
  parameter Real XXXX=1;
  parameter Real YYYY=1;
  parameter Real ZZZZ=1;
  parameter Real AAAAA=1;
  parameter Real BBBBB=1;
  parameter Real CCCCC=1;
  parameter Real DDDDD=1;
  parameter Real EEEEE=1;
  parameter Real FFFFF=1;
  parameter Real GGGGG=1;
  parameter Real HHHHH=1;
  parameter Real IIIII=1;
  parameter Real JJJJJ=1;
  parameter Real KKKKK=1;
  parameter Real LLLLL=1;
  parameter Real MMMMM=1;
  parameter Real NNNNN=1;
  parameter Real OOOOO=1;
  parameter Real PPPPP=1;
  parameter Real QQQQQ=1;
